"BRISONr","genotype","baking_qulaity","country","breeder","breeding_progress","phaseI","phaseII","RYear"
"BRISONr_159","Admiral","A","DE","Firlbeck",TRUE,TRUE,FALSE,1968
"BRISONr_16","Durin",NA,"FR",NA,FALSE,TRUE,FALSE,NA
"BRISONr_160","Vuka","A","DE","Franck",TRUE,TRUE,TRUE,1975
"BRISONr_161","Benno","E","DE","Bauer, G.",TRUE,TRUE,FALSE,1973
"BRISONr_162","Apollo","C","DE","Saatzucht Breun",TRUE,TRUE,TRUE,1984
"BRISONr_163","Aquila","B3","EU","Nickerson",TRUE,TRUE,FALSE,1979
"BRISONr_164","Kanzler","B","DE","Engelen Buechling",TRUE,TRUE,TRUE,1980
"BRISONr_165","Kraka","A","DE","Petersen, A.S.",TRUE,TRUE,FALSE,1982
"BRISONr_166","Caribo","B","DE","Heidenreich und Eger",TRUE,TRUE,TRUE,1968
"BRISONr_167","Butaro","E","DE","LandbauschuleDottenfelderhof e.V./Spieß",TRUE,TRUE,FALSE,2009
"BRISONr_168","Konsul","B","DE","Svaloef Weibull",TRUE,TRUE,FALSE,1990
"BRISONr_169","Ares","B","DE","Strube, Dr. H.",TRUE,TRUE,TRUE,1983
"BRISONr_17","KWS Pius","A","DE","KWS Lochow",TRUE,TRUE,FALSE,2010
"BRISONr_170","Centurk","exot","USA","Nebraska Agricultural Experiment Station, USDA-ARS",FALSE,TRUE,FALSE,1971
"BRISONr_171","NS 22/92",NA,"SRB",NA,FALSE,TRUE,FALSE,NA
"BRISONr_172","Benni multifloret","exot","USA","Purdue University Agricultural Experiment Station",FALSE,TRUE,FALSE,1980
"BRISONr_173","Hope",NA,"USA","S.Dakota Agricultural Experiment Station",FALSE,TRUE,FALSE,NA
"BRISONr_174","Vel",NA,"USA",NA,FALSE,TRUE,FALSE,NA
"BRISONr_175","Phoenix","exot","AUS, USA","Agricultural Research Institute, Wagga Wagga",FALSE,TRUE,FALSE,1981
"BRISONr_176","Mironovska 808","exot","UKR","Mironovskii institut selektsii i semenovodstva pshenitsy",FALSE,TRUE,TRUE,1963
"BRISONr_177","Caphorn",NA,"FR","RAGT 2 n",TRUE,TRUE,FALSE,2000
"BRISONr_178","Cordiale",NA,"GB","KWS UK Limited",TRUE,TRUE,FALSE,2003
"BRISONr_179","Apache","A","CZ"," Nickerson>Limagrain",TRUE,TRUE,FALSE,1997
"BRISONr_18","Paroli","A","DE","DSV",TRUE,TRUE,FALSE,2004
"BRISONr_180","Premio","B","FR"," RAGT",TRUE,TRUE,FALSE,2006
"BRISONr_181","Isengrain","B","EU","Florimond Desprez, WvB, Witt",TRUE,TRUE,FALSE,1996
"BRISONr_182","Alixan","A","FR","Limagrain",TRUE,TRUE,FALSE,2005
"BRISONr_183","Boregar","A7 ","FR","RAGT 2 n",TRUE,TRUE,FALSE,2007
"BRISONr_184","Renesansa","A2-A1","SRB","Institute of Field and Vegetable Crops, Novi Sad",FALSE,TRUE,FALSE,1995
"BRISONr_185","Tremie",NA,"EU","Serasem>RAGT",TRUE,TRUE,FALSE,1991
"BRISONr_186","KWS Ferrum","B","DE","KWS LOCHOW GMBH ",TRUE,TRUE,FALSE,2012
"BRISONr_187","Triple Dirk ""S""",NA,"AUS","Instituto Nacional de Investigaciones Agricolas",FALSE,TRUE,FALSE,NA
"BRISONr_188","Cardos","A","DE","Saatzucht Hadmersleben",TRUE,TRUE,TRUE,1998
"BRISONr_189","Soissons","B/A ","EU","Florimond Desprez",TRUE,TRUE,FALSE,1987
"BRISONr_19","Estivus","A","DE","Strube Saatzucht",TRUE,TRUE,FALSE,2012
"BRISONr_190","BCD 1302/83",NA,"MD","Goertzen Seed Research, Westbred?",FALSE,TRUE,FALSE,NA
"BRISONr_191","Arlequin",NA,"FR","Limagrain Verneuil Holding",TRUE,TRUE,FALSE,2007
"BRISONr_192","Sonalika","exot","IND","Indian Agricultural Research Institute IARI",FALSE,TRUE,FALSE,1967
"BRISONr_193","Camp Remy","B","DE","Unisigma",TRUE,TRUE,FALSE,1980
"BRISONr_194","Cajeme 71","exot","MEX","CIMMYT",FALSE,TRUE,FALSE,1971
"BRISONr_195","Avalon","B/Gd","GB","Plant Breeding International Cambridge PBIC",FALSE,TRUE,FALSE,1980
"BRISONr_196","Ivanka","B","SRB","Institute of Field and Vegetable Crops, Novi Sad",TRUE,TRUE,FALSE,1998
"BRISONr_197","Pobeda","A1-A2","SRB","Institute of Field and Vegetable Crops, Novi Sad",FALSE,TRUE,FALSE,1990
"BRISONr_198","NS 66/92",NA,"SRB",NA,FALSE,TRUE,FALSE,NA
"BRISONr_199","Mexico 3",NA,"MEX","BAZ, Braunschweig Genetic Resources Centre",FALSE,TRUE,FALSE,NA
"BRISONr_2","Oakley","C","UK,BE","KWS UK Limited",TRUE,TRUE,FALSE,2008
"BRISONr_20","Kronjuwel","B","DE","Bayrische Saatzuchtgesellschaft",TRUE,TRUE,TRUE,1980
"BRISONr_200","Orcas","B","DE","Secobra Recherches",TRUE,TRUE,FALSE,2010
"BRISONr_201","Nimbus","B","DE","Firlbeck",TRUE,TRUE,FALSE,1975
"BRISONr_202","Muskat","C","DE","DSV",TRUE,TRUE,FALSE,2010
"BRISONr_203","Florida",NA,"USA",NA,FALSE,TRUE,FALSE,1986
"BRISONr_204","Rumor","B","DE","Dr. Hermann Strube",TRUE,TRUE,FALSE,2013
"BRISONr_205","Highbury","A","GB","Plant Breeding International Cambridge (PBIC)",FALSE,TRUE,TRUE,1968
"BRISONr_206","Siete Cerros","exot","MEX","Instituto Nacional de Investigaciones Agricolas, CIMMYT",FALSE,TRUE,FALSE,1966
"BRISONr_207","Kontrast","A","DE","Saatzucht Hadmersleben",TRUE,TRUE,TRUE,1990
"BRISONr_208","WW 4180",NA,"DE","Saatzucht Josef Breun",TRUE,TRUE,FALSE,2012
"BRISONr_209","INTRO 615",NA,"USA",NA,FALSE,TRUE,FALSE,NA
"BRISONr_21","Desamo","B","DE","Syngenta Seeds",TRUE,TRUE,FALSE,2013
"BRISONr_210","NS 46/90",NA,"SRB",NA,FALSE,TRUE,FALSE,NA
"BRISONr_211","Mex. 17 bb",NA,"MEX","CYMMIT",FALSE,TRUE,FALSE,NA
"BRISONr_212","Labriego-Inia",NA,"CHL","INIA Chillan",FALSE,TRUE,FALSE,1980
"BRISONr_213","Pegassos","A","EU","Strube Saatzucht",TRUE,TRUE,TRUE,1994
"BRISONr_214","Hybred","B","EU","Nordsaat",TRUE,TRUE,FALSE,2003
"BRISONr_215","Hyland","B","DE,HU","Nordsaat",TRUE,TRUE,FALSE,2009
"BRISONr_216","Hybery","B","FR","Saaten Union Recherche",TRUE,TRUE,FALSE,2010
"BRISONr_217","Hystar","B","FR","Saaten Union Recherche",TRUE,TRUE,FALSE,2007
"BRISONr_218","Hylux","B","FR","Saaten Union Recherche / Estrées St Denis",TRUE,TRUE,FALSE,2012
"BRISONr_219","Piko","B","DE","NORDSAAT",TRUE,TRUE,FALSE,1994
"BRISONr_22","Carenius","B","DE","Eger/Dieckmann (EU)",TRUE,TRUE,FALSE,2006
"BRISONr_220","SUR 99820",NA,"FR","Saaten Union Recherche SAS ?",FALSE,TRUE,FALSE,NA
"BRISONr_23","Mulan","B","DE","Nordsaat Saatzucht",TRUE,TRUE,FALSE,2006
"BRISONr_24","Kredo","B","DE","Nordsaat Saatzucht",TRUE,TRUE,FALSE,2009
