"Row";"Column";"BRISONr";"Year";"Location";"Subtrial";"Treatment";"Block";"Sowing_date";"Emergence_date";"BBCH59";"BBCH87";"Plantheight";"Seedyield";"Seedyield_bio";"Biomass_bio";"TKW_plot";"TKW_bio";"Spike_number";"Stripe_rust";"Powdery_mildew";"Leaf_rust";"Septoria";"DTR";"Fusarium";"Sedimentation";"Falling_number";"Crude_protein"
15;6;"BRISONr_32";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;82;52.97;731.6341829;1539.13;44.03;39.05;404.8;0;0;0;1;1;NA;15;NA;7.97
7;8;"BRISONr_33";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;84;59.42;710.7946027;1448.28;35.8;36.88;419.79;0;0;0;5;1;NA;7;NA;9.21
10;4;"BRISONr_34";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;89;65.74;729.6851574;1518.29;43.73;40.13;404.8;3;0;0;1;0;NA;21;NA;8.86
15;11;"BRISONr_35";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;82;54.27;741.9790105;1509.9;45.28;43.45;359.82;0;0;0;7.5;5;NA;20;NA;8.48
18;4;"BRISONr_36";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;89;59.47;831.934033;1680.96;41.28;40.7;494.75;12.5;0;0;3;0;NA;16;NA;8.11
8;8;"BRISONr_37";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;96;56.24;648.5757121;1426.39;43.53;42.95;464.77;1;1;0;3;0;NA;25;NA;9.79
9;8;"BRISONr_38";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;88;56.63;830.7346327;1686.96;39.23;39.9;494.75;1;0;0;5;0;NA;23;NA;8.5
14;9;"BRISONr_39";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;90;55.52;576.4617691;1274.96;28.78;38.48;359.82;7.5;0;1;5;1;NA;28;NA;8.54
19;7;"BRISONr_40";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;87;50.15;707.7961019;1528.94;41.38;42.9;479.76;7.5;0;0;10;0;NA;15;NA;8.66
9;6;"BRISONr_41";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;83;60.25;741.0794603;1485.16;40.43;39.75;494.75;5;1;0;1;1;NA;18;NA;8.88
7;10;"BRISONr_42";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;85;52.18;661.9190405;1335.98;40.6;40.78;389.81;0;0;0;5;1;NA;14;NA;8.91
12;4;"BRISONr_43";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;82;53.26;938.2308846;1995.65;42.35;38.85;599.7;5;0;0;3;0;NA;6;NA;9.18
11;8;"BRISONr_44";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;84;56.5;964.9175412;2088.76;40.78;38.8;614.69;0;0;0;5;1;NA;15;NA;8.31
11;9;"BRISONr_45";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;90;59.05;555.922039;1221.44;41.95;41.3;359.82;1;0;0;5;0;NA;22;NA;8.15
