Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
4;35;BRISONr_75;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;86;68.54;528.6138;1026.66;49.17;42.45;373.52;NA;NA;NA;NA;NA;NA;51.47;472;13.58
11;79;BRISONr_75;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;88;70.18;796.587;1503.98;50.07;45.79;480.24;1;1;NA;1;NA;NA;48.18;494;13.97
3;29;BRISONr_76;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;90;61.58;665.9334;1402.65;53.07;50.4;440.22;NA;NA;NA;NA;NA;NA;48.71;476.5;12.78
11;90;BRISONr_76;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;93;66.22;732.86004;1499.99;NA;48.65;466.9;1;1;NA;1;NA;NA;47.71;476;13.21
4;57;BRISONr_77;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;90;71.64;433.82328;1181.32;44;48.79;360.18;NA;NA;NA;NA;NA;NA;47.99;506;13.25
11;88;BRISONr_77;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;88;65.53;834.31656;1595.98;50.07;45.45;453.56;1;1;NA;1;NA;NA;47.52;503;13.31
3;3;BRISONr_78;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;86;59.6;586.74132;1213.32;48.2;40.27;400.2;NA;NA;NA;NA;NA;NA;34.77;373;11.15
12;53;BRISONr_78;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;89;63.98;600.6066;1261.32;46.87;40.81;413.54;3;2;NA;1;NA;NA;34.38;418.5;11.5
4;25;BRISONr_79;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;98;71.64;425.55744;1502.65;41.7;39.9;440.22;NA;NA;NA;NA;NA;NA;37.09;515;12.03
11;102;BRISONr_79;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;84;67.51;562.21044;1211.99;NA;40.28;386.86;1;1;NA;1;NA;NA;38.19;518;12.87
3;40;BRISONr_80;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;90;84.37;805.51944;1513.32;56.4;46.98;413.54;NA;NA;NA;NA;NA;NA;19.15;393.5;12.28
11;54;BRISONr_80;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;92;84.45;791.2542;1433.32;52;46.44;453.56;2;1;NA;1;NA;NA;23.51;392;11.6
3;7;BRISONr_81;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;90;66.22;632.20344;1314.65;56.33;51.66;346.84;NA;NA;NA;NA;NA;NA;45.31;382.5;13.64
12;97;BRISONr_81;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;84;66.22;671.79948;1278.65;54.53;52.65;293.48;1;1;NA;1;NA;NA;44.02;456.5;13.32
3;9;BRISONr_82;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;86;63.55;591.40752;1202.65;47.6;41.42;386.86;NA;NA;NA;NA;NA;NA;46.86;485;13.39
11;64;BRISONr_82;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;90;79.81;679.2654;1509.32;51.07;45.45;440.22;1;2;NA;2;NA;NA;43.64;483;12.68
4;4;BRISONr_83;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;93;80.24;640.46928;1229.32;49.03;48.43;333.5;NA;NA;NA;NA;NA;NA;40.04;457.5;12.83
11;60;BRISONr_83;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;98;82.73;599.2734;1150.66;49.7;45.22;320.16;1;1;NA;1;NA;NA;37.32;454.5;12.54
3;17;BRISONr_84;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;98;62.61;997.50024;1935.98;49;46.07;573.62;NA;NA;NA;NA;NA;NA;25.14;397.5;13.35
12;52;BRISONr_84;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;97;69.66;471.41952;931.99;47.2;43.82;266.8;2;1;NA;1;NA;NA;25.92;387.5;13.56
4;46;BRISONr_85;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;90;80.15;770.18964;1517.32;52.93;43.6;453.56;NA;NA;NA;NA;NA;NA;35.84;428.5;12.83
12;73;BRISONr_85;2015;GGE;1;HN_NF;B2;314;NA;NA;NA;88;77.14;676.46568;1302.65;NA;46.98;360.18;1;1;NA;1;NA;NA;38.01;431.5;12.77
4;43;BRISONr_86;2015;GGE;1;HN_NF;B1;314;NA;NA;192;94;77.31;969.76968;1942.65;48.17;38.92;546.94;NA;NA;NA;NA;NA;NA;12.83;380.5;10.98
11;91;BRISONr_86;2015;GGE;1;HN_NF;B2;314;NA;NA;192;93;76.11;866.44668;1794.65;NA;42.9;573.62;1;2;NA;1;NA;NA;12.31;364;10.68
3;42;BRISONr_87;2015;GGE;1;HN_NF;B1;314;NA;NA;NA;91;65.7;494.48388;998.66;40.3;36.08;280.14;NA;NA;NA;NA;NA;NA;19.47;426;12.14
