Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
12;64;BRISONr_1;2015;RHH;1;LN_NF;B1;301;316;154;NA;86;81.16;1023.1642;1898.2574;47;NA;499.98;0;NA;NA;NA;NA;NA;23;362;9.76
2;91;BRISONr_1;2015;RHH;1;LN_NF;B2;301;317;155;NA;85;77.22;791.8914;1398.021;44.96;NA;384.6;2;NA;NA;NA;NA;NA;19;358;9.61
11;41;BRISONr_2;2015;RHH;1;LN_NF;B1;301;318;156;NA;80;41.12;557.4136;1199.0546;33.06;NA;410.24;7;NA;NA;NA;NA;NA;26;213;10.6
1;84;BRISONr_2;2015;RHH;1;LN_NF;B2;301;317;157;NA;80;44.7;501.7748;1127.3908;29.43;NA;512.8;6;NA;NA;NA;NA;NA;17;227;9.39
12;45;BRISONr_3;2015;RHH;1;LN_NF;B1;301;317;156;NA;88;73.5;686.8956;1405.9694;50.03;NA;410.24;2;NA;NA;NA;NA;NA;36;401;11.41
1;38;BRISONr_3;2015;RHH;1;LN_NF;B2;301;318;157;NA;90;66.67;677.9216;1305.076;47.55;NA;423.06;2;NA;NA;NA;NA;NA;32;415;10.78
11;55;BRISONr_4;2015;RHH;1;LN_NF;B1;301;317;156;NA;90;83.45;816.5058;1580.1932;39.19;NA;512.8;3;NA;NA;NA;NA;NA;16;355;9.45
2;38;BRISONr_4;2015;RHH;1;LN_NF;B2;301;318;157;NA;90;80.34;723.1762;1328.5366;43.03;NA;384.6;3;NA;NA;NA;NA;NA;16;355;10.11
12;43;BRISONr_5;2015;RHH;1;LN_NF;B1;301;318;154;NA;88;82.93;942.5264;1858.9;45.69;NA;474.34;3;NA;NA;NA;NA;NA;28;464;9.41
1;80;BRISONr_5;2015;RHH;1;LN_NF;B2;301;318;154;NA;85;87.43;868.0422;1741.597;44.11;NA;410.24;2;NA;NA;NA;NA;NA;27;395;10.37
12;60;BRISONr_6;2015;RHH;1;LN_NF;B1;301;317;154;NA;85;79.42;863.8116;1618.9096;43.05;NA;499.98;2;NA;NA;NA;NA;NA;23;371;9.22
1;48;BRISONr_6;2015;RHH;1;LN_NF;B2;301;317;154;NA;83;82.14;1065.5984;2019.2782;41.56;NA;615.36;3;NA;NA;NA;NA;NA;17;366;9.4
11;45;BRISONr_7;2015;RHH;1;LN_NF;B1;301;318;156;NA;82;71.29;911.3738;1804.415;38.32;NA;717.92;4;NA;NA;NA;NA;NA;21;368;9.98
1;46;BRISONr_7;2015;RHH;1;LN_NF;B2;301;317;154;NA;80;71.22;960.7308;1728.0078;44.98;NA;525.62;4;NA;NA;NA;NA;NA;21;359;9.89
12;37;BRISONr_8;2015;RHH;1;LN_NF;B1;301;317;157;NA;85;80.39;863.8116;1659.0362;44.95;NA;435.88;2;NA;NA;NA;NA;NA;8;340;9.2
1;42;BRISONr_8;2015;RHH;1;LN_NF;B2;301;317;157;NA;86;81.36;1072.5212;1974.6646;46.02;NA;435.88;2;NA;NA;NA;NA;NA;6;335;9.43
11;11;BRISONr_9;2015;RHH;1;LN_NF;B1;301;317;154;NA;89;72.39;936.6292;1941.589;43;NA;641;3;NA;NA;NA;NA;NA;33;388;10.78
1;53;BRISONr_9;2015;RHH;1;LN_NF;B2;301;317;154;NA;89;74.22;846.2482;1869.4124;44.81;NA;576.9;2;NA;NA;NA;NA;NA;30;390;10.44
11;27;BRISONr_10;2015;RHH;1;LN_NF;B1;301;317;155;NA;91;83.82;869.3242;1755.8272;41.17;NA;448.7;1;NA;NA;NA;NA;NA;26;374;9.73
2;62;BRISONr_10;2015;RHH;1;LN_NF;B2;301;317;157;NA;90;89.57;708.8178;1350.7152;41.54;NA;384.6;2;NA;NA;NA;NA;NA;26;371;10.01
12;33;BRISONr_11;2015;RHH;1;LN_NF;B1;301;318;156;NA;83;78.88;617.7958;1932.615;27.07;NA;499.98;2;NA;NA;NA;NA;NA;20;384;9.44
1;71;BRISONr_11;2015;RHH;1;LN_NF;B2;301;317;157;NA;82;79.38;1000.601;1926.846;44.1;NA;525.62;3;NA;NA;NA;NA;NA;22;396;9.72
12;19;BRISONr_12;2015;RHH;1;LN_NF;B1;301;316;154;NA;94;71.66;848.1712;1771.8522;47.56;NA;499.98;3;NA;NA;NA;NA;NA;29;367;10.52
1;41;BRISONr_12;2015;RHH;1;LN_NF;B2;301;317;153;NA;93;68.65;907.5278;1845.9518;48.89;NA;461.52;3;NA;NA;NA;NA;NA;20;350;9.5
12;20;BRISONr_13;2015;RHH;1;LN_NF;B1;301;317;154;NA;85;82.22;889.9644;1644.5496;44.53;NA;448.7;3;NA;NA;NA;NA;NA;19;234;8.85
1;95;BRISONr_13;2015;RHH;1;LN_NF;B2;301;317;154;NA;82;80.73;897.0154;1708.6496;42.64;NA;512.8;3;NA;NA;NA;NA;NA;19;265;9.46
12;16;BRISONr_14;2015;RHH;1;LN_NF;B1;301;317;154;NA;80;78.47;981.6274;1511.8626;41.26;NA;576.9;3;NA;NA;NA;NA;NA;16;331;10.25
1;55;BRISONr_14;2015;RHH;1;LN_NF;B2;301;317;154;NA;78;75.67;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;16;333;9.73
11;63;BRISONr_15;2015;RHH;1;LN_NF;B1;301;317;154;NA;95;70.68;821.6338;1660.7028;45.65;NA;576.9;4;NA;NA;NA;NA;NA;29;418;10.72
1;91;BRISONr_15;2015;RHH;1;LN_NF;B2;301;317;154;NA;96;71.41;814.5828;1667.3692;42.08;NA;641;5;NA;NA;NA;NA;NA;28;374;10.75
11;14;BRISONr_16;2015;RHH;1;LN_NF;B1;301;318;154;NA;85;64.35;805.6088;1464.8132;48.04;NA;448.7;4;NA;NA;NA;NA;NA;12;345;9.84
1;82;BRISONr_16;2015;RHH;1;LN_NF;B2;301;317;154;NA;83;70.03;657.5378;1321.4856;39;NA;435.88;4;NA;NA;NA;NA;NA;11;346;10.27
12;22;BRISONr_17;2015;RHH;1;LN_NF;B1;301;318;154;NA;85;79.29;962.9102;1810.4404;44.98;NA;487.16;3;NA;NA;NA;NA;NA;27;359;9.8
1;70;BRISONr_17;2015;RHH;1;LN_NF;B2;301;317;154;NA;85;82.13;986.1144;1859.2846;44.44;NA;487.16;3;NA;NA;NA;NA;NA;30;408;11.37
11;57;BRISONr_18;2015;RHH;1;LN_NF;B1;301;317;154;NA;92;67.44;1052.1374;1904.6674;47.74;NA;641;5;NA;NA;NA;NA;NA;22;401;9.42
2;52;BRISONr_18;2015;RHH;1;LN_NF;B2;301;318;154;NA;90;65.23;740.7396;1448.5318;50.07;NA;346.14;5;NA;NA;NA;NA;NA;17;380;9.5
11;23;BRISONr_19;2015;RHH;1;LN_NF;B1;301;317;154;NA;86;68.66;764.2002;1572.5012;45.64;NA;435.88;3;NA;NA;NA;NA;NA;27;388;9.6
2;53;BRISONr_19;2015;RHH;1;LN_NF;B2;301;317;154;NA;89;71.14;730.2272;1428.148;46.73;NA;384.6;3;NA;NA;NA;NA;NA;22;400;9.29
12;41;BRISONr_20;2015;RHH;1;LN_NF;B1;301;318;156;NA;92;51.16;505.108;1164.3124;38.59;NA;435.88;6;NA;NA;NA;NA;NA;29;379;10.68
1;92;BRISONr_20;2015;RHH;1;LN_NF;B2;301;317;154;NA;90;56.98;691.5108;1582.7572;37.15;NA;628.18;6;NA;NA;NA;NA;NA;24;398;11.06
11;68;BRISONr_21;2015;RHH;1;LN_NF;B1;301;317;156;NA;93;82.74;939.4496;1823.7732;43.44;NA;448.7;2;NA;NA;NA;NA;NA;30;457;10.05
2;46;BRISONr_21;2015;RHH;1;LN_NF;B2;301;317;157;NA;91;87.93;1304.6914;2504.8998;42.55;NA;576.9;2;NA;NA;NA;NA;NA;29;451;10.97
11;50;BRISONr_22;2015;RHH;1;LN_NF;B1;301;318;157;NA;82;71.64;859.4528;1670.9588;36.77;NA;564.08;3;NA;NA;NA;NA;NA;22;417;10
2;50;BRISONr_22;2015;RHH;1;LN_NF;B2;301;317;157;NA;85;70.15;1010.6006;2062.4816;38.08;NA;602.54;4;NA;NA;NA;NA;NA;19;439;10.19
12;40;BRISONr_23;2015;RHH;1;LN_NF;B1;301;317;154;NA;95;81.73;901.1178;1729.2898;48.34;NA;474.34;2;NA;NA;NA;NA;NA;25;312;8.47
1;40;BRISONr_23;2015;RHH;1;LN_NF;B2;301;317;154;NA;96;79.97;1106.6224;2134.1454;45.74;NA;564.08;3;NA;NA;NA;NA;NA;25;309;9.65
12;35;BRISONr_24;2015;RHH;1;LN_NF;B1;301;316;154;NA;90;83.51;979.9608;1828.2602;47.13;NA;448.7;2;NA;NA;NA;NA;NA;19;325;10.04
2;89;BRISONr_24;2015;RHH;1;LN_NF;B2;301;317;157;NA;88;87.21;1331.1006;2328.3684;43.72;NA;551.26;2;NA;NA;NA;NA;NA;21;350;10.85
11;21;BRISONr_25;2015;RHH;1;LN_NF;B1;301;317;154;NA;95;74.94;641.1282;1270.9748;48.41;NA;294.86;2;NA;NA;NA;NA;NA;33;444;10.35
1;67;BRISONr_25;2015;RHH;1;LN_NF;B2;301;317;154;NA;96;87.3;1117.5194;2243.7564;45.19;NA;589.72;1;NA;NA;NA;NA;NA;38;449;11.35
11;16;BRISONr_26;2015;RHH;1;LN_NF;B1;301;318;154;NA;98;72.48;717.279;1391.2264;51.52;NA;371.78;3;NA;NA;NA;NA;NA;32;433;10.68
2;74;BRISONr_26;2015;RHH;1;LN_NF;B2;301;317;157;NA;96;82.85;882.657;1695.1886;55.7;NA;499.98;4;NA;NA;NA;NA;NA;30;463;11.08
12;52;BRISONr_27;2015;RHH;1;LN_NF;B1;301;317;156;NA;96;57.66;559.7212;1278.4104;42.97;NA;371.78;5;NA;NA;NA;NA;NA;21;320;11.51
2;63;BRISONr_27;2015;RHH;1;LN_NF;B2;301;317;156;NA;95;58.93;784.9686;1755.699;42.26;NA;576.9;4;NA;NA;NA;NA;NA;22;329;12.48
11;31;BRISONr_28;2015;RHH;1;LN_NF;B1;301;317;156;NA;82;43.18;402.8044;963.2948;29.09;NA;410.24;6;NA;NA;NA;NA;NA;12;284;9.75
1;43;BRISONr_28;2015;RHH;1;LN_NF;B2;301;317;156;NA;79;41.88;511.518;1217.7718;26.32;NA;576.9;5;NA;NA;NA;NA;NA;10;280;9.73
12;27;BRISONr_29;2015;RHH;1;LN_NF;B1;301;316;154;NA;84;80.41;1395.3288;2659.3808;48.39;NA;756.38;2;NA;NA;NA;NA;NA;21;337;8.89
1;77;BRISONr_29;2015;RHH;1;LN_NF;B2;301;317;154;NA;85;79.65;696.5106;1346.6128;47;NA;358.96;3;NA;NA;NA;NA;NA;23;387;10.41
12;68;BRISONr_30;2015;RHH;1;LN_NF;B1;301;317;154;NA;82;55.28;600.1042;1322.5112;38.31;NA;423.06;5;NA;NA;NA;NA;NA;27;383;10.8
1;47;BRISONr_30;2015;RHH;1;LN_NF;B2;301;317;154;NA;81;57.53;685.7418;1388.2778;41.66;NA;397.42;5;NA;NA;NA;NA;NA;21;394;10.53
12;26;BRISONr_31;2015;RHH;1;LN_NF;B1;301;318;156;NA;86;75.44;1199.1828;2224.5264;47.72;NA;615.36;3;NA;NA;NA;NA;NA;17;398;8.73
1;63;BRISONr_31;2015;RHH;1;LN_NF;B2;301;317;157;NA;82;81.98;1152.0052;2177.8616;46.56;NA;628.18;3;NA;NA;NA;NA;NA;17;403;9.78
12;25;BRISONr_32;2015;RHH;1;LN_NF;B1;301;317;154;NA;85;85.3;1033.0356;1988.382;48.93;NA;435.88;2;NA;NA;NA;NA;NA;22;277;9.5
1;88;BRISONr_32;2015;RHH;1;LN_NF;B2;301;317;154;NA;88;90.94;1040.0866;1956.8448;48.18;NA;461.52;2;NA;NA;NA;NA;NA;26;315;10.53
12;17;BRISONr_33;2015;RHH;1;LN_NF;B1;301;317;154;NA;82;89.74;1088.1616;2007.2274;39.04;NA;551.26;2;NA;NA;NA;NA;NA;10;342;9.77
2;96;BRISONr_33;2015;RHH;1;LN_NF;B2;301;317;155;NA;85;91.06;1012.6518;1783.3902;46.25;NA;474.34;2;NA;NA;NA;NA;NA;7;350;9.79
11;10;BRISONr_34;2015;RHH;1;LN_NF;B1;301;318;154;NA;90;46.9;637.0258;1457.8904;36.09;NA;538.44;6;NA;NA;NA;NA;NA;33;399;11.15
2;45;BRISONr_34;2015;RHH;1;LN_NF;B2;301;318;154;NA;90;51.35;629.3338;1404.8156;35.29;NA;487.16;6;NA;NA;NA;NA;NA;29;394;11.05
12;44;BRISONr_35;2015;RHH;1;LN_NF;B1;301;317;154;NA;93;89.03;1132.2624;2165.1698;48;NA;512.8;2;NA;NA;NA;NA;NA;29;450;9.3
1;76;BRISONr_35;2015;RHH;1;LN_NF;B2;301;317;154;NA;94;84.89;840.351;1562.117;47.6;NA;448.7;2;NA;NA;NA;NA;NA;29;464;10.29
11;20;BRISONr_36;2015;RHH;1;LN_NF;B1;301;318;154;NA;85;62.93;632.4106;1218.7974;45.09;NA;346.14;4;NA;NA;NA;NA;NA;24;384;9.99
1;81;BRISONr_36;2015;RHH;1;LN_NF;B2;301;317;154;NA;87;67.42;735.7398;1434.8144;46.51;NA;384.6;4;NA;NA;NA;NA;NA;22;370;10.33
12;66;BRISONr_37;2015;RHH;1;LN_NF;B1;301;317;157;NA;95;72.81;848.2994;1752.6222;46.83;NA;474.34;0;NA;NA;NA;NA;NA;35;386;11.74
