Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
7;8;BRISONr_1;2017;KAL;1;LN_NF;B1;301;332;146;188;74.5;81.33;740;1255.84;50.99;NA;352;NA;NA;NA;NA;NA;NA;22.5;NA;12
12;15;BRISONr_1;2017;KAL;1;HN_WF;B1;301;332;147;191;75.6666667;112.35;NA;NA;48.4;NA;392;NA;NA;NA;NA;NA;NA;30.3;NA;14.5
30;8;BRISONr_1;2017;KAL;1;HN_NF;B1;301;332;147;188;74;103.76;NA;420.64;48.36;NA;328;NA;NA;NA;NA;NA;NA;32.7;NA;14.1
28;30;BRISONr_1;2017;KAL;1;LN_NF;B2;300;327;146;186;77.8333333;69.94;695.28;1176.72;49.49;NA;384;NA;NA;NA;NA;NA;NA;22.9;NA;11.4
4;23;BRISONr_1;2017;KAL;1;HN_WF;B2;300;328;146;189;73.5;106.37;1042.4;1642.4;48.77;NA;360;NA;NA;NA;NA;NA;NA;30;NA;14.2
18;25;BRISONr_1;2017;KAL;1;HN_NF;B2;300;328;146;190;71.8333333;102.55;1188;1712.64;48.91;NA;632;NA;NA;NA;NA;NA;NA;30.9;NA;13.7
5;20;BRISONr_10;2017;KAL;1;LN_NF;B1;301;332;146;191;74.6666667;70.55;787.36;1401.44;45.64;NA;320;NA;NA;NA;NA;NA;NA;17.2;NA;11
13;4;BRISONr_10;2017;KAL;1;HN_WF;B1;301;331;149;191;87;114.94;916.8;1652;41.61;NA;432;NA;NA;NA;NA;NA;NA;33.5;NA;14.3
32;11;BRISONr_10;2017;KAL;1;HN_NF;B1;301;332;149;188;82;104.24;734.48;1220.96;42.82;NA;472;NA;NA;NA;NA;NA;NA;36.4;NA;14.7
27;39;BRISONr_10;2017;KAL;1;LN_NF;B2;300;329;148;186;86.1666667;75.64;628.08;1077.04;44.41;NA;328;NA;NA;NA;NA;NA;NA;19.6;NA;11.2
5;26;BRISONr_10;2017;KAL;1;HN_WF;B2;300;328;149;190;77.8333333;106.87;1136;1765.6;44.19;NA;480;NA;NA;NA;NA;NA;NA;31.4;NA;13.6
17;26;BRISONr_10;2017;KAL;1;HN_NF;B2;300;329;149;192;74.3333333;102.79;735.44;1159.6;43.85;NA;304;NA;NA;NA;NA;NA;NA;31;NA;13.7
3;19;BRISONr_100;2017;KAL;1;LN_NF;B1;301;331;146;187;93.6666667;76.61;820;1496.88;50.05;NA;496;NA;NA;NA;NA;NA;NA;19;NA;11.4
19;5;BRISONr_100;2017;KAL;1;HN_WF;B1;301;330;147;190;88.8333333;112.48;904;1528;47.67;NA;488;NA;NA;NA;NA;NA;NA;32.9;NA;14.4
27;4;BRISONr_100;2017;KAL;1;HN_NF;B1;301;331;147;189;87.1666667;108.24;874.4;1515.92;48.49;NA;464;NA;NA;NA;NA;NA;NA;39.6;NA;14.5
32;40;BRISONr_100;2017;KAL;1;LN_NF;B2;300;327;146;187;78.8333333;58.06;400.8;642.8;48.89;NA;184;NA;NA;NA;NA;NA;NA;17.6;NA;11
7;23;BRISONr_100;2017;KAL;1;HN_WF;B2;300;327;146;188;85.6666667;117.48;1155.2;1905.6;47.12;NA;600;NA;NA;NA;NA;NA;NA;30.5;NA;14.2
21;30;BRISONr_100;2017;KAL;1;HN_NF;B2;300;328;148;190;81.5;98.18;829.6;1392.16;46.33;NA;440;NA;NA;NA;NA;NA;NA;27.8;NA;13.5
4;14;BRISONr_101;2017;KAL;1;LN_NF;B1;301;332;148;188;100.833333;80.48;958.8;1810.08;51.69;NA;336;NA;NA;NA;NA;NA;NA;19;NA;11.7
15;1;BRISONr_101;2017;KAL;1;HN_WF;B1;301;331;149;191;86.3333333;106.09;1058.4;1767.2;47.59;NA;432;NA;NA;NA;NA;NA;NA;31.2;NA;14.7
32;16;BRISONr_101;2017;KAL;1;HN_NF;B1;301;331;149;188;90;95.39;928.08;1609.36;49.37;NA;392;NA;NA;NA;NA;NA;NA;37.1;NA;14.4
28;39;BRISONr_101;2017;KAL;1;LN_NF;B2;300;328;146;186;95.1666667;66.18;532.08;987.04;51.01;NA;216;NA;NA;NA;NA;NA;NA;17.7;NA;11
1;33;BRISONr_101;2017;KAL;1;HN_WF;B2;300;327;149;190;81.8333333;107.86;925.6;1584.8;49.09;NA;392;NA;NA;NA;NA;NA;NA;34;NA;14.3
22;35;BRISONr_101;2017;KAL;1;HN_NF;B2;300;328;149;190;82.1666667;93.94;812.8;1410.48;47.21;NA;432;NA;NA;NA;NA;NA;NA;33;NA;13.9
3;14;BRISONr_102;2017;KAL;1;LN_NF;B1;301;333;148;187;97.3333333;66.91;596;1153.76;51.67;NA;336;NA;NA;NA;NA;NA;NA;17.8;NA;11.2
16;1;BRISONr_102;2017;KAL;1;HN_WF;B1;301;331;149;191;97.1666667;105.92;1048;1990.4;47.94;NA;488;NA;NA;NA;NA;NA;NA;39.4;NA;14.9
32;10;BRISONr_102;2017;KAL;1;HN_NF;B1;301;332;149;189;96.6666667;98.91;1196.8;2110.4;49.79;NA;640;NA;NA;NA;NA;NA;NA;47.7;NA;14.8
31;29;BRISONr_102;2017;KAL;1;LN_NF;B2;300;327;146;188;101;73.09;796.8;1607.6;50.49;NA;376;NA;NA;NA;NA;NA;NA;17.9;NA;11.5
6;24;BRISONr_102;2017;KAL;1;HN_WF;B2;300;328;149;189;98.6666667;103.04;757.6;1323.2;49.37;NA;336;NA;NA;NA;NA;NA;NA;39.5;NA;14.8
18;32;BRISONr_102;2017;KAL;1;HN_NF;B2;300;328;149;191;89;96.97;716.8;1248.24;49.7;NA;416;NA;NA;NA;NA;NA;NA;39;NA;14.4
4;5;BRISONr_103;2017;KAL;1;LN_NF;B1;301;330;148;188;103.666667;89.33;1015.2;2016.88;47.69;NA;432;NA;NA;NA;NA;NA;NA;21.7;NA;11.3
14;3;BRISONr_103;2017;KAL;1;HN_WF;B1;301;330;149;191;91.6666667;112.53;903.2;1485.6;45.54;NA;440;NA;NA;NA;NA;NA;NA;48.5;NA;14.4
31;2;BRISONr_103;2017;KAL;1;HN_NF;B1;301;331;149;188;89.5;103.64;1138.4;1930.56;47.3;NA;496;NA;NA;NA;NA;NA;NA;61.1;NA;13.7
33;40;BRISONr_103;2017;KAL;1;LN_NF;B2;300;327;146;186;88.8333333;59.76;508.88;815.04;47.79;NA;240;NA;NA;NA;NA;NA;NA;19.5;NA;10.4
1;36;BRISONr_103;2017;KAL;1;HN_WF;B2;300;327;149;191;87.5;108.43;755.2;1218.4;47.43;NA;416;NA;NA;NA;NA;NA;NA;42;NA;13.5
16;35;BRISONr_103;2017;KAL;1;HN_NF;B2;300;327;149;188;87.6666667;99.03;821.6;1348.08;46.29;NA;416;NA;NA;NA;NA;NA;NA;51.4;NA;13.9
5;10;BRISONr_104;2017;KAL;1;LN_NF;B1;301;331;148;191;101.5;88.24;455.2;825.04;50.01;NA;472;NA;NA;NA;NA;NA;NA;17.8;NA;11.1
19;12;BRISONr_104;2017;KAL;1;HN_WF;B1;301;330;150;192;91;101.89;875.2;1587.2;45.85;NA;616;NA;NA;NA;NA;NA;NA;31.6;NA;14.5
30;5;BRISONr_104;2017;KAL;1;HN_NF;B1;301;331;149;188;94.6666667;95.27;928.8;1578.56;42.61;NA;464;NA;NA;NA;NA;NA;NA;31.3;NA;14
33;33;BRISONr_104;2017;KAL;1;LN_NF;B2;300;328;146;187;92.5;59.52;746.4;1279.68;49.56;NA;408;NA;NA;NA;NA;NA;NA;11.3;NA;9.9
3;30;BRISONr_104;2017;KAL;1;HN_WF;B2;300;328;149;192;87.5;100.9;844.8;1380.8;44.53;NA;344;NA;NA;NA;NA;NA;NA;26.6;NA;13.9
19;27;BRISONr_104;2017;KAL;1;HN_NF;B2;300;328;149;192;91.6666667;94.55;1118.4;1827.44;42.63;NA;408;NA;NA;NA;NA;NA;NA;29.3;NA;13.7
8;11;BRISONr_105;2017;KAL;1;LN_NF;B1;301;330;149;189;92;88.73;689.76;1225.44;48.39;NA;536;NA;NA;NA;NA;NA;NA;16.8;NA;10.9
12;10;BRISONr_105;2017;KAL;1;HN_WF;B1;301;331;150;193;94.6666667;115.38;852.8;1405.6;44.99;NA;416;NA;NA;NA;NA;NA;NA;35.2;NA;14.1
30;16;BRISONr_105;2017;KAL;1;HN_NF;B1;301;331;150;188;85.8333333;103.03;1096.32;1786.32;44.81;NA;496;NA;NA;NA;NA;NA;NA;34.7;NA;13.4
29;27;BRISONr_105;2017;KAL;1;LN_NF;B2;300;328;148;188;91.6666667;85.7;923.2;1659.36;41.29;NA;392;NA;NA;NA;NA;NA;NA;16.4;NA;10.3
