BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation;Subblock
BRISONr_27;HN_NF;B1;12;8;2019;KIE;1;282;291;NA;NA;81;69.76;839.75;1750.75;35.46;36.63;508.33;NA;NA;NA;NA;NA;NA;NA;12.69;18;SB87
BRISONr_224;HN_NF;B1;9;9;2019;KIE;1;282;291;NA;NA;79;81.06;666.25;1269.25;41.6;41.04;300;NA;NA;NA;NA;NA;NA;NA;11.74;45;SB99
BRISONr_31;HN_NF;B1;10;9;2019;KIE;1;282;291;NA;NA;81;76.99;542.83;1144;37.95;35.26;333.33;NA;NA;NA;NA;NA;NA;NA;11.48;22;SB99
BRISONr_225;HN_NF;B1;11;9;2019;KIE;1;282;291;NA;NA;87;85.01;880.33;1648.67;41.25;38.76;425;NA;NA;NA;NA;NA;NA;NA;11.98;41;SB99
BRISONr_92;HN_NF;B1;12;9;2019;KIE;1;282;291;NA;NA;81;78.64;541.25;1010.25;35.78;36.32;283.33;NA;NA;NA;NA;NA;NA;NA;11.47;19;SB99
BRISONr_205;HN_NF;B1;9;10;2019;KIE;1;282;289;NA;NA;79;57.6;592.25;1347.59;31.82;26.46;375;NA;NA;NA;NA;NA;NA;NA;13.08;50;SB111
BRISONr_110;HN_NF;B1;10;10;2019;KIE;1;282;289;NA;NA;79;64.24;698.67;1276.42;36.53;39.61;358.33;NA;NA;NA;NA;NA;NA;NA;12.02;33;SB111
BRISONr_26;HN_NF;B1;11;10;2019;KIE;1;282;291;NA;NA;83;81.4;797.67;1435.5;45.44;38.51;391.67;NA;NA;NA;NA;NA;NA;NA;12.43;38;SB111
BRISONr_59;HN_NF;B1;12;10;2019;KIE;1;282;291;NA;NA;79;76.85;942.33;1761.67;37.7;40.3;458.33;NA;NA;NA;NA;NA;NA;NA;11.64;29;SB111
BRISONr_207;HN_NF;B1;9;11;2019;KIE;1;282;289;NA;NA;71;57.45;704;1348.92;34.07;33.53;400;NA;NA;NA;NA;NA;NA;NA;12.96;48;SB123
BRISONr_126;HN_NF;B1;10;11;2019;KIE;1;282;289;NA;NA;83;66.31;544.67;1184.58;35.78;34.32;341.67;NA;NA;NA;NA;NA;NA;NA;12.06;30;SB123
