BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation;Subblock
BRISONr_110;HN_NF;B3;45;9;2019;KIE;1;282;289;NA;206;NA;70.24;902.5;1958.5;37.93;35.89;575;0;0;0.01;0.0125;NA;NA;NA;11.89;30;SB108
BRISONr_56;HN_NF;B3;46;9;2019;KIE;1;282;291;NA;204;NA;87.57;880.92;1710.91;36.44;36.27;500;7.5e-4;0;0.015;0.028;NA;NA;NA;11.26;35;SB108
BRISONr_213;HN_NF;B3;47;9;2019;KIE;1;282;289;NA;204;NA;88.47;873.67;1692.75;45.31;42.58;466.67;0.001;0;0.025;0.025;NA;NA;NA;11.55;34;SB108
BRISONr_166;HN_NF;B3;48;9;2019;KIE;1;282;291;NA;204;NA;75.73;558.83;1161.25;41.01;42.76;350;0.012;0.0025;0.008;0.06;NA;NA;NA;11.5;13;SB108
BRISONr_26;HN_NF;B3;45;10;2019;KIE;1;282;291;NA;204;NA;84.92;723.92;1326.33;49.05;47.2;325;0;0;0.015;0.025;NA;NA;NA;11.55;33;SB120
BRISONr_227;HN_NF;B3;46;10;2019;KIE;1;282;291;NA;206;NA;91.04;1000.75;1866.25;35.4;36.88;516.67;NA;NA;NA;NA;NA;NA;NA;10.39;27;SB120
BRISONr_96;HN_NF;B3;47;10;2019;KIE;1;282;291;NA;206;NA;82.09;962.25;1749.33;41.68;41.34;400;0.001;0;0.025;0.05;NA;NA;NA;11.7;34;SB120
BRISONr_92;HN_NF;B3;48;10;2019;KIE;1;282;289;NA;204;NA;83.7;1024.08;1950.92;36.06;38.98;533.33;0.003;0;0.032;0.0175;NA;NA;NA;11.49;18;SB120
BRISONr_162;HN_NF;B3;45;11;2019;KIE;1;282;291;NA;206;NA;72.17;859.75;1808.67;39.1;40.66;475;0.001;0;0.015;0.028;NA;NA;NA;11.44;23;SB132
BRISONr_69;HN_NF;B3;46;11;2019;KIE;1;282;291;NA;204;NA;84.51;1024.25;2056.84;37.11;36.57;583.33;0;0;0.0125;0;NA;NA;NA;11.33;17;SB132
BRISONr_126;HN_NF;B3;47;11;2019;KIE;1;282;291;NA;204;NA;73.99;804.33;1729;38.3;36.89;466.67;0.0015;0;0.05;0.006;NA;NA;NA;11.79;28;SB132
BRISONr_158;HN_NF;B3;48;11;2019;KIE;1;282;289;NA;204;NA;69.69;697.5;1456.42;36.64;37.82;441.67;0;0;0.025;0.06;NA;NA;NA;12.3;24;SB132
BRISONr_124;HN_NF;B3;45;12;2019;KIE;1;282;291;NA;204;NA;65.58;875.33;1913.92;38.93;33.56;608.33;0;0;0.04;0.02;NA;NA;NA;11.51;30;SB144
BRISONr_188;HN_NF;B3;46;12;2019;KIE;1;282;291;NA;204;NA;66.3;742.67;1514.75;36.68;36.84;441.67;NA;NA;NA;NA;NA;NA;NA;12.22;35;SB144
BRISONr_102;HN_NF;B3;47;12;2019;KIE;1;282;289;NA;206;NA;73.43;659.25;1342.67;42.01;40.56;366.67;0.008;0;0.01;0.025;NA;NA;NA;11.88;33;SB144
BRISONr_67;HN_NF;B3;48;12;2019;KIE;1;282;289;NA;206;NA;81.97;948.67;1789.09;40.19;42.19;466.67;0;0;0.15;0.04;NA;NA;NA;11.07;20;SB144
BRISONr_138;HN_NF;B3;45;13;2019;KIE;1;282;291;NA;206;NA;72.95;813.92;1715.25;37.96;38.59;500;0;0;0.01;0.02;NA;NA;NA;12.88;51;SB156
BRISONr_134;HN_NF;B3;46;13;2019;KIE;1;282;291;NA;204;NA;68.43;784.75;1570.42;40.9;41.56;416.67;NA;NA;NA;NA;NA;NA;NA;11.55;46;SB156
BRISONr_226;HN_NF;B3;47;13;2019;KIE;1;282;291;NA;199;NA;85.29;987.92;1780.84;37.94;39.71;483.33;0;0;0.01;0.025;NA;NA;NA;11.19;23;SB156
BRISONr_143;HN_NF;B3;48;13;2019;KIE;1;282;289;NA;206;NA;77.6;790;1508.83;45.61;48.27;316.67;0;0;0;0.015;NA;NA;NA;11.49;31;SB156
BRISONr_188;HN_WF;B1;13;1;2019;KIE;1;282;291;156;NA;79;78.52;784.42;1514.25;40.89;38.91;458.33;NA;NA;NA;NA;NA;NA;NA;13.03;41;SB4
BRISONr_160;HN_WF;B1;14;1;2019;KIE;1;282;291;161;NA;88;77.43;855.83;1699.75;42.48;40.84;491.67;NA;NA;NA;NA;NA;NA;NA;11.65;33;SB4
BRISONr_96;HN_WF;B1;15;1;2019;KIE;1;282;292;159;NA;87;88.07;789;1438.83;39.16;39.19;350;NA;NA;NA;NA;NA;NA;NA;12.68;40;SB4
BRISONr_223;HN_WF;B1;16;1;2019;KIE;1;282;292;157;NA;79;94.37;787.42;1411;38.93;39.46;408.33;NA;NA;NA;NA;NA;NA;NA;11.15;24;SB4
BRISONr_118;HN_WF;B1;13;2;2019;KIE;1;282;291;157;NA;78;70.36;992.58;1947.91;36.61;34.44;583.33;NA;NA;NA;NA;NA;NA;NA;12.61;33;SB16
BRISONr_104;HN_WF;B1;14;2;2019;KIE;1;282;292;157;NA;78;80.86;873.83;1591.58;36.6;37.31;441.67;NA;NA;NA;NA;NA;NA;NA;12.48;28;SB16
BRISONr_228;HN_WF;B1;15;2;2019;KIE;1;282;292;156;NA;85;83.72;714.5;1337.66;43.74;44.68;375;NA;NA;NA;NA;NA;NA;NA;12.59;34;SB16
BRISONr_166;HN_WF;B1;16;2;2019;KIE;1;282;292;158;NA;85;76.11;835;1613.17;39.35;37.99;541.67;NA;NA;NA;NA;NA;NA;NA;12.02;16;SB16
BRISONr_50;HN_WF;B1;13;3;2019;KIE;1;282;291;157;NA;80;81.85;944.5;1834.58;38.95;38.09;433.33;NA;NA;NA;NA;NA;NA;NA;11.89;38;SB28
BRISONr_114;HN_WF;B1;14;3;2019;KIE;1;282;291;160;NA;78;68.22;736.25;1474.09;37.76;38.71;441.67;NA;NA;NA;NA;NA;NA;NA;12.27;31;SB28
BRISONr_71;HN_WF;B1;15;3;2019;KIE;1;282;292;155;NA;84;80.71;1020.42;1871.58;38.3;38.59;608.33;NA;NA;NA;NA;NA;NA;NA;12.38;31;SB28
BRISONr_227;HN_WF;B1;16;3;2019;KIE;1;282;292;156;NA;78;93.16;856.17;1476.92;34.63;34.94;450;NA;NA;NA;NA;NA;NA;NA;10.66;29;SB28
BRISONr_150;HN_WF;B1;13;4;2019;KIE;1;282;291;158;NA;82;68.77;1039.33;2139.58;41.26;40.22;575;NA;NA;NA;NA;NA;NA;NA;13.09;40;SB40
BRISONr_27;HN_WF;B1;14;4;2019;KIE;1;282;291;157;NA;74;71.77;468.83;915.75;32.52;35.98;300;NA;NA;NA;NA;NA;NA;NA;13.47;19;SB40
BRISONr_138;HN_WF;B1;15;4;2019;KIE;1;282;292;158;NA;87;74.13;655.58;1347.17;35.9;36.87;416.67;NA;NA;NA;NA;NA;NA;NA;13.19;57;SB40
BRISONr_134;HN_WF;B1;16;4;2019;KIE;1;282;292;155;NA;77;73.93;692.67;1354.91;38.76;36.88;416.67;NA;NA;NA;NA;NA;NA;NA;13.11;54;SB40
BRISONr_153;HN_WF;B1;13;5;2019;KIE;1;282;291;157;NA;77;56.91;757.17;1414.5;35.74;37.57;358.33;NA;NA;NA;NA;NA;NA;NA;10.84;33;SB52
BRISONr_110;HN_WF;B1;14;5;2019;KIE;1;282;291;158;NA;79;66.61;884.17;1730.16;38.36;36.65;475;NA;NA;NA;NA;NA;NA;NA;12.29;34;SB52
BRISONr_59;HN_WF;B1;15;5;2019;KIE;1;282;292;160;NA;77;70.24;902.33;1688.42;38.77;36.85;550;NA;NA;NA;NA;NA;NA;NA;12.03;30;SB52
BRISONr_225;HN_WF;B1;16;5;2019;KIE;1;282;292;159;NA;79;74.91;706;1287.09;38.42;37.75;433.33;NA;NA;NA;NA;NA;NA;NA;12.15;40;SB52
BRISONr_38;HN_WF;B1;13;6;2019;KIE;1;282;292;158;NA;79;77.16;1102.92;1878.33;37.32;37.99;558.33;NA;NA;NA;NA;NA;NA;NA;11.37;35;SB64
BRISONr_221;HN_WF;B1;14;6;2019;KIE;1;282;292;158;NA;82;74.92;982.58;1791.58;40.61;42.71;525;NA;NA;NA;NA;NA;NA;NA;11.81;36;SB64
BRISONr_69;HN_WF;B1;15;6;2019;KIE;1;282;292;158;NA;79;76.76;608.08;1104;37.42;36.19;366.67;NA;NA;NA;NA;NA;NA;NA;11.56;18;SB64
BRISONr_213;HN_WF;B1;16;6;2019;KIE;1;282;292;156;NA;80;70.86;556.5;974.08;42.17;43.28;275;NA;NA;NA;NA;NA;NA;NA;12.21;36;SB64
BRISONr_164;HN_WF;B1;13;7;2019;KIE;1;282;291;159;NA;85;66.6;1113;2119.34;40.14;40.88;566.67;NA;NA;NA;NA;NA;NA;NA;12.92;29;SB76
BRISONr_99;HN_WF;B1;14;7;2019;KIE;1;282;291;153;NA;79;73.29;736.58;1322.09;44.79;46.32;366.67;NA;NA;NA;NA;NA;NA;NA;11.9;36;SB76
BRISONr_56;HN_WF;B1;15;7;2019;KIE;1;282;292;157;NA;74;71.72;794.67;1429.92;34.23;34.06;433.33;NA;NA;NA;NA;NA;NA;NA;11.72;37;SB76
BRISONr_47;HN_WF;B1;16;7;2019;KIE;1;282;292;157;NA;73;72.04;1018.5;1870.41;37.02;34.64;558.33;NA;NA;NA;NA;NA;NA;NA;11.9;42;SB76
BRISONr_67;HN_WF;B1;13;8;2019;KIE;1;282;291;155;NA;85;94.45;1050.58;1896;40.82;42.11;483.33;NA;NA;NA;NA;NA;NA;NA;11.34;21;SB88
BRISONr_135;HN_WF;B1;14;8;2019;KIE;1;282;289;157;NA;78;73.29;776.25;1548.92;39.97;41.11;433.33;NA;NA;NA;NA;NA;NA;NA;12.99;63;SB88
BRISONr_121;HN_WF;B1;15;8;2019;KIE;1;282;291;156;NA;81;73.47;922.75;1707.5;38.86;39.78;450;NA;NA;NA;NA;NA;NA;NA;12.54;41;SB88
BRISONr_145;HN_WF;B1;16;8;2019;KIE;1;282;291;158;NA;85;75.79;1103.75;2163.08;37.78;39.3;600;NA;NA;NA;NA;NA;NA;NA;12.54;44;SB88
BRISONr_205;HN_WF;B1;13;9;2019;KIE;1;282;291;151;NA;82;58.49;719.58;1491.5;29.93;30.37;383.33;NA;NA;NA;NA;NA;NA;NA;13.5;50;SB100
BRISONr_126;HN_WF;B1;14;9;2019;KIE;1;282;291;155;NA;77;81.18;1011;1904.59;39.95;40.66;516.67;NA;NA;NA;NA;NA;NA;NA;12.23;30;SB100
BRISONr_131;HN_WF;B1;15;9;2019;KIE;1;282;291;157;NA;82;72.08;622.33;1234.75;44.63;42.25;308.33;NA;NA;NA;NA;NA;NA;NA;12.41;31;SB100
BRISONr_20;HN_WF;B1;16;9;2019;KIE;1;282;291;158;NA;73;70.34;1163.83;2206.25;35.78;35.01;666.67;NA;NA;NA;NA;NA;NA;NA;13.03;38;SB100
BRISONr_224;HN_WF;B1;13;10;2019;KIE;1;282;291;156;NA;68;81.05;710.92;1218.75;41.49;42.87;283.33;NA;NA;NA;NA;NA;NA;NA;11.71;42;SB112
BRISONr_226;HN_WF;B1;14;10;2019;KIE;1;282;291;153;NA;70;87.75;1012.58;1736.59;39.12;39.79;516.67;NA;NA;NA;NA;NA;NA;NA;11.93;28;SB112
BRISONr_176;HN_WF;B1;15;10;2019;KIE;1;282;291;154;NA;90;68.87;706.08;1388.84;43.63;42.15;400;NA;NA;NA;NA;NA;NA;NA;12.79;42;SB112
BRISONr_80;HN_WF;B1;16;10;2019;KIE;1;282;291;155;NA;86;80.97;963.33;1737.5;42.49;41.38;458.33;NA;NA;NA;NA;NA;NA;NA;12.1;21;SB112
BRISONr_124;HN_WF;B1;13;11;2019;KIE;1;282;289;156;NA;78;71.2;649.08;1203.5;38.11;36.16;325;NA;NA;NA;NA;NA;NA;NA;11.56;29;SB124
BRISONr_102;HN_WF;B1;14;11;2019;KIE;1;282;289;155;NA;81;78.74;729.25;1294.5;43.86;42.61;341.67;NA;NA;NA;NA;NA;NA;NA;12.13;35;SB124
BRISONr_92;HN_WF;B1;15;11;2019;KIE;1;282;289;154;NA;83;80.88;741.67;1325.91;39.2;36.23;350;NA;NA;NA;NA;NA;NA;NA;11.61;18;SB124
BRISONr_158;HN_WF;B1;16;11;2019;KIE;1;282;291;157;NA;91;69.49;849.17;1654.75;36.49;37.71;458.33;NA;NA;NA;NA;NA;NA;NA;13.14;29;SB124
BRISONr_162;HN_WF;B1;13;12;2019;KIE;1;282;289;158;NA;87;78.23;820.83;1636.25;39.29;40.23;466.67;NA;NA;NA;NA;NA;NA;NA;11.3;25;SB136
BRISONr_143;HN_WF;B1;14;12;2019;KIE;1;282;289;155;NA;86;94.66;1268.33;2389.08;44;45.03;558.33;NA;NA;NA;NA;NA;NA;NA;12;33;SB136
BRISONr_169;HN_WF;B1;15;12;2019;KIE;1;282;289;155;NA;95;79.9;902.25;1716.17;38.27;39.96;441.67;NA;NA;NA;NA;NA;NA;NA;12.28;22;SB136
BRISONr_26;HN_WF;B1;16;12;2019;KIE;1;282;289;155;NA;77;87.97;725.25;1278.33;46.83;48.55;316.67;NA;NA;NA;NA;NA;NA;NA;12.56;37;SB136
BRISONr_207;HN_WF;B1;13;13;2019;KIE;1;282;289;151;NA;77;86.28;697.08;1292.5;36.48;37.7;308.33;NA;NA;NA;NA;NA;NA;NA;13.34;45;SB148
BRISONr_31;HN_WF;B1;14;13;2019;KIE;1;282;291;157;NA;81;91.07;764.75;1410;40.78;44.68;425;NA;NA;NA;NA;NA;NA;NA;11.36;23;SB148
BRISONr_54;HN_WF;B1;15;13;2019;KIE;1;282;291;155;NA;95;93.23;909.92;1641.17;42.16;43.26;408.33;NA;NA;NA;NA;NA;NA;NA;11.71;33;SB148
BRISONr_222;HN_WF;B1;16;13;2019;KIE;1;282;289;156;NA;86;104.58;877.33;1642.92;42.75;44.28;475;NA;NA;NA;NA;NA;NA;NA;12.06;39;SB148
BRISONr_20;HN_WF;B2;25;1;2019;KIE;1;282;291;159;NA;73;80.99;748.83;1414;36.48;36.34;416.67;NA;NA;NA;NA;NA;NA;NA;12.4;33;SB7
BRISONr_59;HN_WF;B2;26;1;2019;KIE;1;282;291;158;NA;81;87.7;1111.5;2059.42;39.79;40.41;608.33;NA;NA;NA;NA;NA;NA;NA;11.49;29;SB7
BRISONr_50;HN_WF;B2;27;1;2019;KIE;1;282;291;157;NA;90;96.41;1033;1992.41;38.82;39.45;441.67;NA;NA;NA;NA;NA;NA;NA;12.06;35;SB7
BRISONr_158;HN_WF;B2;28;1;2019;KIE;1;282;291;157;NA;96;79.57;590.42;1175.84;36.56;37.68;341.67;NA;NA;NA;NA;NA;NA;NA;13.89;27;SB7
BRISONr_121;HN_WF;B2;25;2;2019;KIE;1;282;291;155;NA;87;83.59;926.17;1760.92;37.97;38.35;541.67;NA;NA;NA;NA;NA;NA;NA;12.31;40;SB19
BRISONr_164;HN_WF;B2;26;2;2019;KIE;1;282;291;157;NA;85;79.36;608.08;1149.75;40.99;38.27;325;NA;NA;NA;NA;NA;NA;NA;12.78;26;SB19
BRISONr_227;HN_WF;B2;27;2;2019;KIE;1;282;291;155;NA;84;97.55;999.08;1773.08;34.55;36.71;466.67;NA;NA;NA;NA;NA;NA;NA;10.97;30;SB19
BRISONr_166;HN_WF;B2;28;2;2019;KIE;1;282;291;157;NA;90;83.76;997.42;1883.58;40.88;41.94;525;NA;NA;NA;NA;NA;NA;NA;11.82;14;SB19
BRISONr_222;HN_WF;B2;25;3;2019;KIE;1;282;291;156;NA;83;101.89;1260.83;2278.08;42.07;44.63;625;NA;NA;NA;NA;NA;NA;NA;11.93;39;SB31
BRISONr_226;HN_WF;B2;26;3;2019;KIE;1;282;292;154;NA;81;101.85;600.83;1060.42;37.13;38.68;275;NA;NA;NA;NA;NA;NA;NA;11.96;21;SB31
BRISONr_99;HN_WF;B2;27;3;2019;KIE;1;282;291;153;NA;80;88.97;1319.67;2407.16;45.19;46.12;575;NA;NA;NA;NA;NA;NA;NA;11.51;32;SB31
BRISONr_143;HN_WF;B2;28;3;2019;KIE;1;282;291;155;NA;87;88.08;864.17;1614.84;41.86;42.41;408.33;NA;NA;NA;NA;NA;NA;NA;11.59;34;SB31
BRISONr_26;HN_WF;B2;25;4;2019;KIE;1;282;291;156;NA;82;93.31;1050.58;1853.42;46.19;47.27;475;NA;NA;NA;NA;NA;NA;NA;12.36;38;SB43
BRISONr_138;HN_WF;B2;26;4;2019;KIE;1;282;291;156;NA;87;82.23;873.25;1740.92;37.07;38.17;458.33;NA;NA;NA;NA;NA;NA;NA;13.67;60;SB43
BRISONr_134;HN_WF;B2;27;4;2019;KIE;1;282;291;154;NA;80;83.11;758.75;1400.75;39.79;41.29;341.67;NA;NA;NA;NA;NA;NA;NA;12.87;55;SB43
BRISONr_104;HN_WF;B2;28;4;2019;KIE;1;282;291;156;NA;86;85.78;1264.83;2348.42;36.69;35.88;616.67;NA;NA;NA;NA;NA;NA;NA;12.23;29;SB43
BRISONr_96;HN_WF;B2;25;5;2019;KIE;1;282;292;156;NA;90;92.19;1024.67;1821.41;41.57;42.62;466.67;NA;NA;NA;NA;NA;NA;NA;12.53;42;SB55
BRISONr_71;HN_WF;B2;26;5;2019;KIE;1;282;291;154;NA;75;83.67;1121.42;1980.25;39.14;39.78;616.67;NA;NA;NA;NA;NA;NA;NA;12.65;31;SB55
BRISONr_31;HN_WF;B2;27;5;2019;KIE;1;282;291;156;NA;78;87.32;805.75;1404.08;41.27;41.83;375;NA;NA;NA;NA;NA;NA;NA;11.82;26;SB55
BRISONr_102;HN_WF;B2;28;5;2019;KIE;1;282;291;155;NA;77;86.34;820.5;1491.42;41.41;42.87;400;NA;NA;NA;NA;NA;NA;NA;11.81;35;SB55
BRISONr_228;HN_WF;B2;25;6;2019;KIE;1;282;291;154;NA;81;83.39;1044.75;1983.42;44.96;45.64;583.33;NA;NA;NA;NA;NA;NA;NA;12.27;35;SB67
BRISONr_188;HN_WF;B2;26;6;2019;KIE;1;282;291;154;NA;78;74.04;1032.17;1891.92;42.28;41.83;516.67;NA;NA;NA;NA;NA;NA;NA;12.61;41;SB67
BRISONr_126;HN_WF;B2;27;6;2019;KIE;1;282;292;156;NA;82;75.98;809.17;1506.5;39.43;40.43;366.67;NA;NA;NA;NA;NA;NA;NA;12.7;30;SB67
BRISONr_118;HN_WF;B2;28;6;2019;KIE;1;282;292;157;NA;74;77.14;792.75;1445.75;37.62;41.08;366.67;NA;NA;NA;NA;NA;NA;NA;11.44;32;SB67
BRISONr_207;HN_WF;B2;25;7;2019;KIE;1;282;291;151;NA;65;70.89;914.42;1702.67;38.05;37.03;650;NA;NA;NA;NA;NA;NA;NA;12.79;45;SB79
BRISONr_153;HN_WF;B2;26;7;2019;KIE;1;282;289;155;NA;85;72.96;802.75;1511.34;35.98;37.23;433.33;NA;NA;NA;NA;NA;NA;NA;12.19;39;SB79
BRISONr_135;HN_WF;B2;27;7;2019;KIE;1;282;292;156;NA;77;76.82;933.42;1890.42;39.95;43.57;458.33;NA;NA;NA;NA;NA;NA;NA;11.74;NA;SB79
BRISONr_92;HN_WF;B2;28;7;2019;KIE;1;282;291;154;NA;83;84.78;1042.5;1903.58;38.64;39.82;525;NA;NA;NA;NA;NA;NA;NA;11.66;15;SB79
BRISONr_224;HN_WF;B2;25;8;2019;KIE;1;282;291;157;NA;69;88.13;952.75;1722.59;40.92;38.94;425;NA;NA;NA;NA;NA;NA;NA;12.62;45;SB91
BRISONr_110;HN_WF;B2;26;8;2019;KIE;1;282;289;157;NA;82;76.04;642.83;1236.16;37.1;38.03;341.67;NA;NA;NA;NA;NA;NA;NA;12.37;33;SB91
BRISONr_145;HN_WF;B2;27;8;2019;KIE;1;282;292;157;NA;83;86.75;1091.58;2077.41;39.63;40.97;541.67;NA;NA;NA;NA;NA;NA;NA;13.18;50;SB91
BRISONr_56;HN_WF;B2;28;8;2019;KIE;1;282;291;155;NA;73;93.98;735.75;1370.42;37.23;36.74;400;NA;NA;NA;NA;NA;NA;NA;11.83;36;SB91
BRISONr_160;HN_WF;B2;25;9;2019;KIE;1;282;291;160;NA;87;85.37;883.17;1682;39.46;39.67;425;NA;NA;NA;NA;NA;NA;NA;12.23;34;SB103
BRISONr_38;HN_WF;B2;26;9;2019;KIE;1;282;291;154;NA;80;91.67;961;1677.17;38.4;40.96;441.67;NA;NA;NA;NA;NA;NA;NA;12.05;38;SB103
BRISONr_124;HN_WF;B2;27;9;2019;KIE;1;282;289;157;NA;85;86.53;907.08;1759.83;35.27;34.93;525;NA;NA;NA;NA;NA;NA;NA;12.12;32;SB103
BRISONr_150;HN_WF;B2;28;9;2019;KIE;1;282;289;157;NA;84;83.27;915.67;1779.75;44.08;43.73;450;NA;NA;NA;NA;NA;NA;NA;12.3;31;SB103
BRISONr_213;HN_WF;B2;25;10;2019;KIE;1;282;291;155;NA;84;84.26;1074.25;1920.25;43.6;45.47;500;NA;NA;NA;NA;NA;NA;NA;12.13;40;SB115
BRISONr_80;HN_WF;B2;26;10;2019;KIE;1;282;291;154;NA;89;94.74;1207.17;2234.83;44.26;46.96;558.33;NA;NA;NA;NA;NA;NA;NA;12.13;23;SB115
BRISONr_221;HN_WF;B2;27;10;2019;KIE;1;282;291;158;NA;84;92.46;799.92;1458.09;41.59;43.14;400;NA;NA;NA;NA;NA;NA;NA;11.7;37;SB115
BRISONr_114;HN_WF;B2;28;10;2019;KIE;1;282;289;158;NA;84;75.53;685.33;1360.5;39.26;39.15;375;NA;NA;NA;NA;NA;NA;NA;12.12;28;SB115
BRISONr_27;HN_WF;B2;25;11;2019;KIE;1;282;291;156;NA;78;73.41;765;1488.91;36.41;38.68;416.67;NA;NA;NA;NA;NA;NA;NA;13.32;20;SB127
BRISONr_205;HN_WF;B2;26;11;2019;KIE;1;282;289;151;NA;85;62.73;571.42;1171.83;33.45;32.05;325;NA;NA;NA;NA;NA;NA;NA;13.12;48;SB127
BRISONr_67;HN_WF;B2;27;11;2019;KIE;1;282;291;155;NA;86;93.45;1185.5;2125.59;41.34;43.17;533.33;NA;NA;NA;NA;NA;NA;NA;12.29;22;SB127
BRISONr_69;HN_WF;B2;28;11;2019;KIE;1;282;291;157;NA;84;88.87;939.25;1713.17;39.65;39.59;475;NA;NA;NA;NA;NA;NA;NA;11.32;15;SB127
BRISONr_176;HN_WF;B2;25;12;2019;KIE;1;282;289;154;NA;96;56.23;681.83;1428.17;39.22;40.25;425;NA;NA;NA;NA;NA;NA;NA;13.57;31;SB139
BRISONr_223;HN_WF;B2;26;12;2019;KIE;1;282;291;155;NA;87;97.18;1066;1900.42;41.14;44.25;483.33;NA;NA;NA;NA;NA;NA;NA;11.17;24;SB139
BRISONr_54;HN_WF;B2;27;12;2019;KIE;1;282;291;157;NA;81;89.67;711.33;1277.09;39.12;38.6;358.33;NA;NA;NA;NA;NA;NA;NA;11.99;33;SB139
BRISONr_169;HN_WF;B2;28;12;2019;KIE;1;282;291;157;NA;93;80.64;823.58;1570.67;37.44;37.67;400;NA;NA;NA;NA;NA;NA;NA;12.42;22;SB139
BRISONr_225;HN_WF;B2;25;13;2019;KIE;1;282;291;157;NA;86;90.51;979.17;1792.83;40.05;41.26;458.33;NA;NA;NA;NA;NA;NA;NA;12.63;41;SB151
BRISONr_47;HN_WF;B2;26;13;2019;KIE;1;282;291;157;NA;77;69.26;758.58;1378.5;35.86;38.99;416.67;NA;NA;NA;NA;NA;NA;NA;13.41;29;SB151
BRISONr_131;HN_WF;B2;27;13;2019;KIE;1;282;291;159;NA;83;75.49;808;1583.91;39.69;42.18;416.67;NA;NA;NA;NA;NA;NA;NA;12.73;33;SB151
BRISONr_162;HN_WF;B2;28;13;2019;KIE;1;282;291;159;NA;89;71.9;782.17;1571;38.31;38.55;491.67;NA;NA;NA;NA;NA;NA;NA;11.67;25;SB151
BRISONr_56;HN_WF;B3;33;1;2019;KIE;1;282;289;155;206;80;97.63;1119.92;1992.67;37.84;38.07;508.33;0;0;0;0.025;NA;NA;NA;10.66;33;SB9
BRISONr_121;HN_WF;B3;34;1;2019;KIE;1;282;289;155;204;84;83.73;908.75;1675;39.25;38.98;500;0;0;0;0.015;NA;NA;NA;12.21;37;SB9
BRISONr_176;HN_WF;B3;35;1;2019;KIE;1;282;289;154;204;99;73.29;638.92;1337.83;42.39;42.91;366.67;0;0;0;0;NA;NA;NA;12.28;30;SB9
BRISONr_226;HN_WF;B3;36;1;2019;KIE;1;282;291;154;199;80;91.87;950.92;1657.33;39.18;40.41;458.33;0;0;0;0.015;NA;NA;NA;11.33;24;SB9
BRISONr_26;HN_WF;B3;33;2;2019;KIE;1;282;289;155;205;82;71.28;1087.83;1912.17;48.64;48.56;483.33;0;0;0;0.009;NA;NA;NA;11.44;32;SB21
BRISONr_59;HN_WF;B3;34;2;2019;KIE;1;282;289;157;205;81;91.37;812.83;1446.33;40.98;40.74;366.67;0;0;0;0.015;NA;NA;NA;10.89;26;SB21
BRISONr_114;HN_WF;B3;35;2;2019;KIE;1;282;289;158;200;79;73.19;753.67;1533.42;39.77;36.35;466.67;0;0;0;0.015;NA;NA;NA;11.49;25;SB21
BRISONr_162;HN_WF;B3;36;2;2019;KIE;1;282;291;157;206;90;79.89;881.17;1762.33;38.79;41.3;441.67;0;0;0;0.025;NA;NA;NA;11.73;26;SB21
BRISONr_158;HN_WF;B3;33;3;2019;KIE;1;282;289;157;206;95;97.39;820.17;1626.42;37.56;37.21;441.67;0;0;0;0.001;NA;NA;NA;12.99;26;SB33
BRISONr_160;HN_WF;B3;34;3;2019;KIE;1;282;289;158;206;90;84.22;935.58;1807.75;38.69;38.97;483.33;0;0;0;0.01;NA;NA;NA;11.92;33;SB33
BRISONr_126;HN_WF;B3;35;3;2019;KIE;1;282;289;155;206;91;88.29;914.5;1765.16;39.96;40.32;450;0;0;0;0.004;NA;NA;NA;12.47;29;SB33
BRISONr_225;HN_WF;B3;36;3;2019;KIE;1;282;289;155;205;88;97.22;780.58;1422.75;41.49;40.62;366.67;0;0;0;0.01;NA;NA;NA;11.87;37;SB33
BRISONr_166;HN_WF;B3;33;4;2019;KIE;1;282;289;156;206;97;91.29;1071.33;2026.58;42.18;42.82;550;0;0;0;0.01;NA;NA;NA;11.23;13;SB45
BRISONr_207;HN_WF;B3;34;4;2019;KIE;1;282;289;151;199;74;82.53;865.33;1605.42;38.56;39.11;391.67;0;0;0;0.02;NA;NA;NA;12.5;45;SB45
BRISONr_67;HN_WF;B3;35;4;2019;KIE;1;282;291;154;206;93;100.65;1027.75;1917.25;41.38;42.29;475;0;0;0;0.01;NA;NA;NA;11.65;20;SB45
BRISONr_124;HN_WF;B3;36;4;2019;KIE;1;282;291;156;205;87;76.32;745.25;1445.17;34.77;35.87;400;0;0;0;0.0015;NA;NA;NA;11.24;30;SB45
BRISONr_80;HN_WF;B3;33;5;2019;KIE;1;282;289;154;206;95;95.95;947.33;1765.67;46.32;45.07;441.67;0;0;0;0.01;NA;NA;NA;12.32;23;SB57
BRISONr_104;HN_WF;B3;34;5;2019;KIE;1;282;289;155;205;87;92.33;1153.5;2109;38.32;38.57;550;0;0;0;0.015;NA;NA;NA;11.51;26;SB57
BRISONr_71;HN_WF;B3;35;5;2019;KIE;1;282;291;154;200;89;93.99;1208.83;2269.42;38.12;39.11;750;0;0;0;0.01;NA;NA;NA;NA;NA;SB57
