Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
9;14;BRISONr_1;2016;HAN;1;HN_NF;B1;308;333;151;NA;78;68.27;807.65;1552.623688;40.2;44.55;434.78;0;NA;NA;0.5;12.5;NA;34.6965;378;12.49204545
38;3;BRISONr_1;2016;HAN;1;HN_NF;B2;308;333;NA;NA;76;54.57;676.01;1321.73913;35.88;38.175;494.75;NA;NA;NA;NA;NA;NA;32.1975;335;12.45579793
18;33;BRISONr_1;2016;HAN;1;HN_WF;B1;308;333;151;NA;78;76.61;989.51;1746.176912;42;45;524.74;NA;NA;NA;NA;NA;NA;35.6705;309;12.92462601
34;32;BRISONr_1;2016;HAN;1;HN_WF;B2;308;333;NA;NA;78;78.32;NA;1929.235382;41.5;41.94;479.76;NA;NA;NA;NA;NA;NA;35.829;315;12.79701835
9;2;BRISONr_1;2016;HAN;1;LN_NF;B1;308;333;151;NA;78;54.72;647.98;1317.091454;39.55;44.5;389.81;0.5;NA;NA;22.5;0;NA;20.442;346;9.227904328
36;12;BRISONr_1;2016;HAN;1;LN_NF;B2;308;333;NA;NA;79;52.66;458.32;918.7406297;39.1;37.775;419.79;NA;NA;NA;NA;NA;NA;23.381;346;9.999884925
19;17;BRISONr_10;2016;HAN;1;HN_NF;B1;308;333;155;NA;81;75.22;835.98;1584.257871;34.25;36.025;434.78;0;NA;NA;2.5;2.5;NA;35.813;374;12.66152968
28;4;BRISONr_10;2016;HAN;1;HN_NF;B2;308;333;NA;NA;77;74.45;1138.08;2104.197901;33.18;35.825;614.69;NA;NA;NA;NA;NA;NA;35.548;390;12.33066362
18;26;BRISONr_10;2016;HAN;1;HN_WF;B1;308;333;153;NA;79;87.67;650.67;1194.602699;36.78;38.075;299.85;NA;NA;NA;NA;NA;NA;36.545;381;12.89117984
30;24;BRISONr_10;2016;HAN;1;HN_WF;B2;308;333;NA;NA;78;89.54;1102.55;2085.307346;37.6;35.1;644.68;NA;NA;NA;NA;NA;NA;36.0865;385;13.212
12;9;BRISONr_10;2016;HAN;1;LN_NF;B1;308;333;153;NA;81;57.59;988.46;2111.244378;37.25;32.45;629.69;0;NA;NA;1;0;NA;20.4465;348;9.51591954
35;22;BRISONr_10;2016;HAN;1;LN_NF;B2;308;333;NA;NA;80;77.76;762.82;1512.593703;34.53;34.45;434.78;NA;NA;NA;NA;NA;NA;24.994;367;10.2010882
16;13;BRISONr_100;2016;HAN;1;HN_NF;B1;308;333;151;NA;83;62.79;537.63;1110.794603;35.93;36.7;479.76;1;NA;NA;3;0;NA;40.06;374;12.81087203
34;1;BRISONr_100;2016;HAN;1;HN_NF;B2;308;333;NA;NA;88;62.29;772.56;1551.574213;40.83;42.4;509.75;NA;NA;NA;NA;NA;NA;35.9535;373;12.17804323
12;32;BRISONr_100;2016;HAN;1;HN_WF;B1;308;333;151;NA;91;86.51;799.55;1615.292354;45.43;46.325;524.74;NA;NA;NA;NA;NA;NA;35.522;355;12.66893424
36;33;BRISONr_100;2016;HAN;1;HN_WF;B2;308;333;NA;NA;89;79.7;738.08;1435.832084;43.6;44.175;479.76;NA;NA;NA;NA;NA;NA;37.3955;364;12.74715909
18;3;BRISONr_100;2016;HAN;1;LN_NF;B1;308;333;148;NA;89;50.71;529.69;1110.044978;40.63;38.525;344.83;12.5;NA;NA;12.5;0;NA;22.9235;335;8.796057143
37;13;BRISONr_100;2016;HAN;1;LN_NF;B2;308;333;NA;NA;89;56;494.3;1009.895052;43.75;41.675;389.81;NA;NA;NA;NA;NA;NA;31.5295;363;10.79153318
3;15;BRISONr_101;2016;HAN;1;HN_NF;B1;308;333;152;NA;84;56.6;720.39;1474.512744;40.83;37.075;494.75;0;NA;NA;2.5;0;NA;36.817;368;12.20397727
25;9;BRISONr_101;2016;HAN;1;HN_NF;B2;308;333;NA;NA;90;62.8;738.38;1639.58021;38.43;35.25;539.73;NA;NA;NA;NA;NA;NA;40.3475;319;12.79886364
3;23;BRISONr_101;2016;HAN;1;HN_WF;B1;308;333;151;NA;81;69.96;823.54;1573.463268;43.2;44.875;464.77;NA;NA;NA;NA;NA;NA;39.061;390;13.45629966
25;28;BRISONr_101;2016;HAN;1;HN_WF;B2;308;333;NA;NA;91;79.45;957.57;1811.544228;45.78;44.85;479.76;NA;NA;NA;NA;NA;NA;37.5575;369;12.78725825
1;4;BRISONr_101;2016;HAN;1;LN_NF;B1;308;333;151;NA;95;54.22;537.03;1135.232384;39.5;41.725;389.81;0;NA;NA;5;0;NA;19.173;331;8.276517755
21;21;BRISONr_101;2016;HAN;1;LN_NF;B2;308;333;NA;NA;93;62.66;605.55;1275.262369;37.63;38.775;374.81;NA;NA;NA;NA;NA;NA;26.7595;352;10.39593822
13;18;BRISONr_102;2016;HAN;1;HN_NF;B1;308;333;152;NA;91;55.25;810.64;1637.481259;41.43;41.95;464.77;10;NA;NA;1;3;NA;33.1745;332;12.08117249
40;11;BRISONr_102;2016;HAN;1;HN_NF;B2;308;333;NA;NA;96;61.63;605.25;1442.128936;39.63;38.875;494.75;NA;NA;NA;NA;NA;NA;33.4855;346;12.88939052
16;27;BRISONr_102;2016;HAN;1;HN_WF;B1;308;333;152;NA;92;73.47;1078.41;2136.581709;43.75;48.225;539.73;NA;NA;NA;NA;NA;NA;34.996;334;13.14470721
33;28;BRISONr_102;2016;HAN;1;HN_WF;B2;308;333;NA;NA;92;75.37;895.35;1782.608696;44.95;45.35;479.76;NA;NA;NA;NA;NA;NA;38.235;353;13.42359551
19;9;BRISONr_102;2016;HAN;1;LN_NF;B1;308;333;152;NA;95;51.07;987.71;2173.613193;41.98;39.675;674.66;5;NA;NA;7.5;0;NA;22.3825;313;9.755922551
30;18;BRISONr_102;2016;HAN;1;LN_NF;B2;308;333;NA;NA;94;59.46;570.76;1220.53973;41.1;41.9;329.84;NA;NA;NA;NA;NA;NA;24.6335;347;10.75820046
15;20;BRISONr_103;2016;HAN;1;HN_NF;B1;308;333;152;NA;87;52.81;862.52;1737.631184;36.55;39.6;524.74;0;NA;NA;0;0;NA;37.4835;389;12.24715909
27;7;BRISONr_103;2016;HAN;1;HN_NF;B2;308;333;NA;NA;90;49.99;387.41;1158.62069;35.78;31.25;449.78;NA;NA;NA;NA;NA;NA;37.6105;397;12.71623156
14;25;BRISONr_103;2016;HAN;1;HN_WF;B1;308;333;152;NA;86;66.69;834.33;1567.616192;41.88;45.775;404.8;NA;NA;NA;NA;NA;NA;40.696;365;12.70034052
27;25;BRISONr_103;2016;HAN;1;HN_WF;B2;308;333;NA;NA;87;78.87;955.02;1937.331334;44.5;43;539.73;NA;NA;NA;NA;NA;NA;41.7745;391;12.8810872
10;8;BRISONr_103;2016;HAN;1;LN_NF;B1;308;333;152;NA;88;61.15;487.41;1009.595202;39.4;40.45;269.87;2.5;NA;NA;5;0;NA;19.005;312;8.934457143
36;16;BRISONr_103;2016;HAN;1;LN_NF;B2;308;333;NA;NA;86;47.44;623.99;1372.863568;36.2;37.3;449.78;NA;NA;NA;NA;NA;NA;22.646;396;9.377688787
16;20;BRISONr_104;2016;HAN;1;HN_NF;B1;308;333;152;NA;87;47.92;712.44;1457.121439;33.18;33.775;569.72;10;NA;NA;10;0;NA;37.418;241;12.75955056
33;7;BRISONr_104;2016;HAN;1;HN_NF;B2;308;333;NA;NA;86;51.53;653.52;1377.811094;33.9;35.4;479.76;NA;NA;NA;NA;NA;NA;34.4585;229;12.35072952
17;27;BRISONr_104;2016;HAN;1;HN_WF;B1;308;333;152;NA;90;68.59;485.01;1059.52024;37.72;34.675;344.83;NA;NA;NA;NA;NA;NA;34.5785;203;13.40955056
30;29;BRISONr_104;2016;HAN;1;HN_WF;B2;308;333;NA;NA;93;74.75;1156.07;2279.16042;38.22;38.725;674.66;NA;NA;NA;NA;NA;NA;32.547;134;12.63580247
14;4;BRISONr_104;2016;HAN;1;LN_NF;B1;308;333;151;NA;92;50.01;648.13;1440.929535;36.18;30.025;509.75;25;NA;NA;27.5;0;NA;25.4245;227;10.13960674
39;19;BRISONr_104;2016;HAN;1;LN_NF;B2;308;333;NA;NA;89;51.04;389.36;804.4977511;35.58;35.85;284.86;NA;NA;NA;NA;NA;NA;21.4015;150;9.626809955
16;18;BRISONr_105;2016;HAN;1;HN_NF;B1;308;333;153;NA;86;71.12;943.93;1741.529235;41.2;41.925;554.72;7.5;NA;NA;0;0.5;NA;36.239;392;11.84175084
29;11;BRISONr_105;2016;HAN;1;HN_NF;B2;308;333;NA;NA;87;70.74;818.14;1566.716642;40.53;40.825;539.73;NA;NA;NA;NA;NA;NA;38.1125;330;12.09371493
16;26;BRISONr_105;2016;HAN;1;HN_WF;B1;308;333;153;NA;87;74.44;914.24;1767.166417;44.25;42.25;554.72;NA;NA;NA;NA;NA;NA;37.098;374;11.79035874
31;24;BRISONr_105;2016;HAN;1;HN_WF;B2;308;333;NA;NA;87;91.52;1087.41;1999.850075;43.53;44.75;569.72;NA;NA;NA;NA;NA;NA;35.9605;358;12.31263982
17;4;BRISONr_105;2016;HAN;1;LN_NF;B1;308;333;151;NA;90;60.54;720.24;1490.554723;42.08;42.2;494.75;0;NA;NA;2.5;0;NA;20.2475;302;7.924858437
28;17;BRISONr_105;2016;HAN;1;LN_NF;B2;308;333;NA;NA;85;61.29;907.5;1826.236882;40.23;41.425;524.74;NA;NA;NA;NA;NA;NA;22.992;371;9.233653846
20;22;BRISONr_106;2016;HAN;1;HN_NF;B1;308;333;152;NA;90;78.07;1205.25;2418.14093;38.65;41.425;644.68;5;NA;NA;2.5;0;NA;20.0395;363;12.24455899
