Row;Column;BRISONr;Year;Location;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;HI;Spike_number;Crude_protein;Sedimentation;SPAD;Straw_N;Flag_Leaf_Weight;Flag_Leaf_N;Flag_Leaf_C
14;5;BRISONr_30;2020;KAD;LN_WF;B1;298;NA;223;272;73.00;73.24;NA;NA;22.57;0.58;608;10.40;27.10;46.60;0.35;2.14;2.60;43.70
14;6;BRISONr_119;2020;KAD;LN_WF;B1;298;NA;220;265;70.50;60.92;NA;NA;20.52;0.53;588;9.00;18.30;49.60;0.37;2.14;2.60;43.70
14;7;BRISONr_109;2020;KAD;LN_WF;B1;298;NA;225;265;64.50;65.30;NA;NA;24.61;0.56;538;9.10;26.30;47.35;0.40;2.14;2.60;43.70
14;8;BRISONr_43;2020;KAD;LN_WF;B1;298;NA;213;265;68.00;75.78;NA;NA;22.82;0.53;567;9.30;21.00;47.10;0.40;2.16;2.57;44.47
14;9;BRISONr_51;2020;KAD;LN_WF;B1;298;NA;214;270;71.00;79.19;NA;NA;19.38;0.59;592;9.50;11.10;53.80;0.41;2.16;2.57;44.47
14;10;BRISONr_12;2020;KAD;LN_WF;B1;298;NA;221;269;66.50;77.30;NA;NA;20.3;0.50;554;10.00;19.40;53.85;0.33;2.08;2.03;40.87
14;11;BRISONr_45;2020;KAD;LN_WF;B1;298;NA;223;266;69.50;77.84;NA;NA;20.7;0.53;579;9.60;10.70;49.10;0.37;2.08;2.03;40.87
14;12;BRISONr_194;2020;KAD;LN_WF;B1;298;NA;225;266;59.50;81.57;NA;NA;23.19;0.55;496;9.30;17.20;48.30;0.38;1.75;1.40;39.36
14;13;BRISONr_182;2020;KAD;LN_WF;B1;298;NA;219;266;73.00;72.76;NA;NA;23.28;0.55;608;9.20;17.20;44.15;0.34;1.75;1.40;39.36
14;14;BRISONr_64;2020;KAD;LN_WF;B1;298;NA;222;265;69.50;56.43;NA;NA;20.8;0.49;579;9.30;18.90;44.35;0.44;1.75;1.40;39.36
14;15;BRISONr_188;2020;KAD;LN_WF;B1;298;NA;222;272;71.00;66.32;NA;NA;23.02;0.56;592;9.00;17.40;46.30;0.41;2.23;1.94;27.19
14;16;BRISONr_25;2020;KAD;LN_WF;B1;298;NA;224;270;71.50;64.38;NA;NA;22.55;0.55;596;9.00;19.20;48.40;0.35;2.23;1.94;27.19
14;17;BRISONr_204;2020;KAD;LN_WF;B1;298;NA;212;265;71.00;67.95;NA;NA;22.72;0.59;592;9.50;22.30;43.55;0.34;2.23;1.94;27.19
14;18;BRISONr_78;2020;KAD;LN_WF;B1;298;NA;222;270;72.50;77.95;NA;NA;20.61;0.61;604;9.40;17.20;46.45;0.34;2.27;0.87;42.61
14;19;BRISONr_96;2020;KAD;LN_WF;B1;298;NA;222;271;76.00;82.00;NA;NA;23.12;0.61;633;8.60;18.70;44.95;0.37;1.82;2.38;42.22
14;20;BRISONr_86;2020;KAD;LN_WF;B1;298;NA;221;265;78.50;79.57;NA;NA;22.46;0.53;654;9.90;23.20;50.35;0.33;1.82;2.38;42.22
14;21;BRISONr_174;2020;KAD;LN_WF;B1;298;NA;223;269;96.00;78.22;NA;NA;22.36;0.55;800;9.50;20.30;49.40;0.45;2.10;2.69;42.76
15;1;BRISONr_7;2020;KAD;LN_WF;B1;298;NA;223;265;69.50;73.35;NA;NA;25.66;0.53;579;9.10;19.70;48.05;0.38;2.20;2.92;45.13
15;2;BRISONr_115;2020;KAD;LN_WF;B1;298;NA;220;267;69.50;69.57;NA;NA;23.59;0.55;579;9.60;21.00;46.80;0.40;2.02;1.97;41.20
15;3;BRISONr_139;2020;KAD;LN_WF;B1;298;NA;220;265;77.00;79.03;NA;NA;24.28;0.58;642;9.80;17.20;47.40;0.36;2.19;2.46;43.00
15;4;BRISONr_207;2020;KAD;LN_WF;B1;298;NA;213;265;69.50;71.30;NA;NA;21.39;0.53;579;9.10;22.10;50.45;0.36;2.19;2.46;43.00
15;5;BRISONr_131;2020;KAD;LN_WF;B1;298;NA;223;265;80.50;69.68;NA;NA;20.19;0.55;671;9.30;18.30;48.20;0.39;2.19;2.46;43.00
15;6;BRISONr_125;2020;KAD;LN_WF;B1;298;NA;222;268;75.00;68.11;NA;NA;24.57;0.54;625;9.20;16.90;47.80;0.42;2.13;2.34;42.83
15;7;BRISONr_57;2020;KAD;LN_WF;B1;298;NA;212;269;66.00;61.62;NA;NA;24.24;0.49;550;9.50;10.90;48.85;0.38;2.13;2.34;42.83
15;8;BRISONr_69;2020;KAD;LN_WF;B1;298;NA;213;270;66.50;69.68;NA;NA;20.7;0.51;554;9.40;10.30;48.75;0.36;2.06;1.88;41.64
15;9;BRISONr_5;2020;KAD;LN_WF;B1;298;NA;220;265;74.00;74.49;NA;NA;23.68;0.50;617;9.20;11.70;45.35;0.33;1.92;2.67;44.44
15;10;BRISONr_123;2020;KAD;LN_WF;B1;298;NA;221;270;64.00;74.86;NA;NA;17.48;0.52;533;8.50;11.80;47.20;0.39;1.92;2.67;44.44
15;11;BRISONr_20;2020;KAD;LN_WF;B1;298;NA;223;269;56.50;71.24;NA;NA;22.45;0.53;471;9.20;14.20;50.20;0.39;2.12;0.66;41.93
15;12;BRISONr_108;2020;KAD;LN_WF;B1;298;NA;221;265;65.50;70.27;NA;NA;24.08;0.45;546;9.70;18.50;46.05;0.43;1.90;1.17;42.19
15;13;BRISONr_35;2020;KAD;LN_WF;B1;298;NA;223;270;79.50;61.89;NA;NA;21.76;0.45;663;9.40;19.40;43.65;0.35;1.90;1.17;42.19
15;14;BRISONr_172;2020;KAD;LN_WF;B1;298;NA;221;269;99.00;46.11;NA;NA;22.77;0.49;825;9.50;15.30;35.50;0.36;1.84;2.48;45.06
15;15;BRISONr_94;2020;KAD;LN_WF;B1;298;NA;220;273;65.50;65.73;NA;NA;22.16;0.53;546;9.70;14.00;44.20;0.38;1.84;2.48;45.06
15;16;BRISONr_142;2020;KAD;LN_WF;B1;298;NA;222;264;81.50;61.14;NA;NA;21.45;0.55;679;9.20;20.50;43.90;0.36;1.84;2.48;45.06
15;17;BRISONr_62;2020;KAD;LN_WF;B1;298;NA;213;271;79.00;76.76;NA;NA;24.36;0.56;658;9.00;20.60;45.15;0.36;2.14;1.54;40.75
15;18;BRISONr_63;2020;KAD;LN_WF;B1;298;NA;221;269;73.50;50.70;NA;NA;23.13;0.52;613;9.10;21.20;50.35;0.35;1.95;2.52;41.84
15;19;BRISONr_32;2020;KAD;LN_WF;B1;298;NA;222;272;69.00;75.51;NA;NA;24.47;0.49;575;9.50;12.60;50.35;0.32;1.77;2.86;44.56
15;20;BRISONr_103;2020;KAD;LN_WF;B1;298;NA;223;271;68.50;71.19;NA;NA;24.65;0.55;571;10.60;26.80;45.80;0.37;1.77;2.86;44.56
15;21;BRISONr_157;2020;KAD;LN_WF;B1;298;NA;219;271;82.00;76.32;NA;NA;26.78;0.55;683;9.30;16.10;44.50;0.38;2.17;2.33;37.50
16;1;BRISONr_154;2020;KAD;LN_WF;B1;298;NA;221;272;63.50;71.14;NA;NA;24.71;0.48;529;8.90;12.80;51.85;0.37;2.20;2.70;45.30
16;2;BRISONr_114;2020;KAD;LN_WF;B1;298;NA;227;269;70.00;76.59;NA;NA;21.18;0.55;583;9.20;10.80;50.05;0.45;1.94;3.11;44.33
16;3;BRISONr_132;2020;KAD;LN_WF;B1;298;NA;222;267;72.00;81.08;NA;NA;21.58;0.59;600;9.30;13.10;48.10;0.45;1.94;3.11;44.33
16;4;BRISONr_130;2020;KAD;LN_WF;B1;298;NA;222;271;69.50;74.65;NA;NA;24.24;0.54;579;9.30;14.80;40.75;0.37;1.91;3.15;45.04
16;5;BRISONr_145;2020;KAD;LN_WF;B1;298;NA;224;269;65.50;70.22;NA;NA;22.59;0.55;546;8.90;12.90;48.75;0.38;1.91;3.15;45.04
16;6;BRISONr_4;2020;KAD;LN_WF;B1;298;NA;216;271;67.00;72.27;NA;NA;21.34;0.54;558;9.50;18.80;51.85;0.34;1.79;3.00;45.56
16;7;BRISONr_77;2020;KAD;LN_WF;B1;298;NA;223;267;75.50;78.81;NA;NA;20.54;0.55;629;9.60;16.20;46.80;0.36;1.79;3.00;45.56
16;8;BRISONr_128;2020;KAD;LN_WF;B1;298;NA;218;264;81.50;71.19;NA;NA;25.82;0.52;679;9.50;21.70;44.15;0.40;1.95;1.52;39.28
16;9;BRISONr_16;2020;KAD;LN_WF;B1;298;NA;222;262;77.50;74.86;NA;NA;23.59;0.54;646;9.10;15.40;50.05;0.35;1.99;2.50;45.06
16;10;BRISONr_155;2020;KAD;LN_WF;B1;298;NA;221;265;66.50;70.38;NA;NA;24.67;0.48;554;9.10;17.40;47.30;0.39;1.15;3.02;78.75
16;11;BRISONr_177;2020;KAD;LN_WF;B1;298;NA;220;269;63.00;51.57;NA;NA;20.57;0.54;525;9.50;16.60;50.80;0.36;2.23;2.88;43.44
16;12;BRISONr_112;2020;KAD;LN_WF;B1;298;NA;219;271;63.00;74.11;NA;NA;21.34;0.51;525;10.80;18.00;47.95;0.39;2.23;2.88;43.44
16;13;BRISONr_189;2020;KAD;LN_WF;B1;298;NA;221;265;69.50;78.32;NA;NA;24.86;0.55;579;8.50;23.80;38.55;0.39;1.91;2.51;44.23
16;14;BRISONr_87;2020;KAD;LN_WF;B1;298;NA;221;270;84.50;79.78;NA;NA;22.98;0.56;704;10.10;18.80;47.40;0.41;1.91;2.51;44.23
16;15;BRISONr_137;2020;KAD;LN_WF;B1;298;NA;222;267;76.00;44.43;NA;NA;22.51;0.41;633;9.50;15.50;42.85;0.37;1.91;2.51;44.23
16;16;BRISONr_102;2020;KAD;LN_WF;B1;298;NA;227;268;80.00;50.54;NA;NA;19.86;0.56;667;11.70;25.20;42.40;0.41;1.96;2.46;42.38
16;17;BRISONr_66;2020;KAD;LN_WF;B1;298;NA;217;265;75.00;72.11;NA;NA;22.92;0.56;625;9.10;13.10;47.85;0.36;1.96;2.46;42.38
16;18;BRISONr_153;2020;KAD;LN_WF;B1;298;NA;221;270;87.50;76.32;NA;NA;21.35;0.59;729;8.90;21.20;45.35;0.31;2.18;0.91;16.95
16;19;BRISONr_190;2020;KAD;LN_WF;B1;298;NA;221;265;76.00;66.86;NA;NA;24.24;0.53;633;8.90;18.90;45.75;0.36;2.13;3.22;44.63
16;20;BRISONr_68;2020;KAD;LN_WF;B1;298;NA;219;265;76.50;67.89;NA;NA;19.34;0.51;638;9.00;13.40;43.35;0.39;2.13;3.22;44.63
16;21;BRISONr_98;2020;KAD;LN_WF;B1;298;NA;218;265;66.00;76.97;NA;NA;22.61;0.53;550;9.10;16.10;51.45;0.34;1.77;0.98;42.01
17;1;BRISONr_198;2020;KAD;LN_WF;B1;298;NA;222;270;77.00;83.68;NA;NA;24.42;0.57;642;10.90;28.20;41.10;0.41;1.90;2.38;44.77
17;2;BRISONr_70;2020;KAD;LN_WF;B1;298;NA;212;273;64.50;72.32;NA;NA;24.71;0.56;538;9.90;18.60;48.55;0.39;2.07;2.48;45.62
17;3;BRISONr_33;2020;KAD;LN_WF;B1;298;NA;223;265;59.50;70.76;NA;NA;22.27;0.59;496;9.50;21.00;48.65;0.36;1.77;2.10;45.81
17;4;BRISONr_55;2020;KAD;LN_WF;B1;298;NA;219;271;61.50;74.54;NA;NA;21.72;0.53;513;9.30;23.10;47.05;0.37;2.02;2.95;44.10
17;5;BRISONr_85;2020;KAD;LN_WF;B1;298;NA;220;273;64.00;66.54;NA;NA;23.33;0.50;533;10.30;19.50;40.95;0.37;2.02;2.95;44.10
17;6;BRISONr_13;2020;KAD;LN_WF;B1;298;NA;222;265;64.50;74.54;NA;NA;24.47;0.56;538;9.20;23.40;47.35;0.36;1.97;2.59;45.62
17;7;BRISONr_79;2020;KAD;LN_WF;B1;298;NA;229;271;77.00;67.78;NA;NA;20.56;0.59;642;8.90;7.20;46.20;0.37;1.97;2.59;45.62
17;8;BRISONr_213;2020;KAD;LN_WF;B1;298;NA;218;264;78.00;65.46;NA;NA;22.75;0.53;650;10.50;24.20;42.20;0.42;1.97;2.59;45.62
17;9;BRISONr_168;2020;KAD;LN_WF;B1;298;NA;221;266;85.00;59.19;NA;NA;21.4;0.55;708;9.00;16.20;48.75;0.38;2.17;1.75;42.81
17;10;BRISONr_61;2020;KAD;LN_WF;B1;298;NA;221;265;75.50;68.16;NA;NA;21.78;0.58;629;9.00;18.80;48.70;0.38;2.17;1.75;42.81
17;11;BRISONr_202;2020;KAD;LN_WF;B1;298;NA;220;268;78.50;74.11;NA;NA;24.59;0.50;654;8.60;14.20;46.40;0.41;1.93;2.57;44.25
17;12;BRISONr_161;2020;KAD;LN_WF;B1;298;NA;221;266;78.00;56.05;NA;NA;23.62;0.40;650;8.80;13.30;46.45;0.39;1.11;1.43;42.82
17;13;BRISONr_48;2020;KAD;LN_WF;B1;298;NA;222;267;75.00;68.59;NA;NA;21.77;0.52;625;9.70;17.60;46.60;0.37;1.11;1.43;42.82
17;14;BRISONr_73;2020;KAD;LN_WF;B1;298;NA;222;265;77.00;68.81;NA;NA;21.44;0.55;642;9.20;17.30;50.60;0.42;1.95;1.58;44.05
17;15;BRISONr_99;2020;KAD;LN_WF;B1;298;NA;214;263;84.50;70.92;NA;NA;24.8;0.49;704;9.30;17.40;50.15;0.42;2.22;2.42;44.20
17;16;BRISONr_58;2020;KAD;LN_WF;B1;298;NA;226;267;79.00;65.73;NA;NA;21.47;0.48;658;9.10;9.20;42.65;0.41;2.16;3.19;45.12
17;17;BRISONr_196;2020;KAD;LN_WF;B1;298;NA;222;265;77.50;68.97;NA;NA;23.32;0.54;646;9.40;24.80;36.35;0.35;2.16;3.19;45.12
17;18;BRISONr_53;2020;KAD;LN_WF;B1;298;NA;223;265;77.00;63.41;NA;NA;20.96;0.52;642;9.10;21.90;50.70;0.37;2.16;3.19;45.12
17;19;BRISONr_211;2020;KAD;LN_WF;B1;298;NA;222;267;84.00;44.70;NA;NA;21.99;0.51;700;8.30;13.60;43.20;0.34;2.27;2.45;45.65
17;20;BRISONr_195;2020;KAD;LN_WF;B1;298;NA;223;264;75.50;69.03;NA;NA;19;0.54;629;9.20;21.00;51.65;0.34;1.97;2.26;42.13
17;21;BRISONr_228;2020;KAD;LN_WF;B1;298;NA;222;265;83.00;68.92;NA;NA;24.42;0.53;692;9.00;9.00;52.10;0.42;2.20;2.16;42.95
18;1;BRISONr_163;2020;KAD;LN_WF;B1;298;NA;223;269;74.00;64.97;NA;NA;22.34;0.48;617;9.30;16.80;52.00;0.39;2.20;2.16;42.95
18;2;BRISONr_22;2020;KAD;LN_WF;B1;298;NA;225;265;71.50;75.41;NA;NA;21.81;0.55;596;9.30;10.20;45.55;0.40;2.20;2.16;42.95
18;3;BRISONr_80;2020;KAD;LN_WF;B1;298;NA;222;263;77.50;71.14;NA;NA;19.8;0.54;646;8.80;19.40;41.05;0.35;1.77;2.93;45.60
18;4;BRISONr_44;2020;KAD;LN_WF;B1;298;NA;221;266;76.50;70.76;NA;NA;17.98;0.56;638;10.10;15.20;48.95;0.36;1.88;2.15;44.22
18;5;BRISONr_82;2020;KAD;LN_WF;B1;298;NA;221;269;70.50;62.92;NA;NA;23.42;0.46;588;9.00;13.90;50.55;0.43;1.88;2.15;44.22
18;6;BRISONr_200;2020;KAD;LN_WF;B1;298;NA;222;266;75.50;73.30;NA;NA;18.93;0.53;629;9.50;15.60;50.55;0.36;1.93;1.97;43.46
18;7;BRISONr_49;2020;KAD;LN_WF;B1;298;NA;221;266;40.00;72.43;NA;NA;22.88;0.61;333;9.90;9.00;53.80;0.39;1.93;1.97;43.46
18;8;BRISONr_183;2020;KAD;LN_WF;B1;298;NA;225;265;78.00;72.70;NA;NA;20.53;0.56;650;9.50;21.40;50.95;0.34;2.17;2.36;45.20
18;9;BRISONr_197;2020;KAD;LN_WF;B1;298;NA;214;269;62.00;69.68;NA;NA;23.2;0.58;517;9.70;19.90;46.50;0.37;2.18;2.93;45.02
18;10;BRISONr_222;2020;KAD;LN_WF;B1;298;NA;221;267;68.00;68.16;NA;NA;25.26;0.55;567;9.40;10.80;56.55;0.36;1.72;2.99;44.54
18;11;BRISONr_173;2020;KAD;LN_WF;B1;298;NA;221;272;93.50;64.16;NA;NA;23.71;0.48;779;9.30;15.00;43.95;0.39;1.75;2.98;47.34
18;12;BRISONr_52;2020;KAD;LN_WF;B1;298;NA;221;264;72.00;78.49;NA;NA;23.76;0.51;600;9.10;15.90;53.55;0.35;1.73;2.10;42.31
18;13;BRISONr_223;2020;KAD;LN_WF;B1;298;NA;223;271;72.50;85.08;NA;NA;22.8;0.54;604;9.70;17.60;49.50;0.37;1.73;2.10;42.31
18;14;BRISONr_187;2020;KAD;LN_WF;B1;298;NA;224;264;69.50;71.24;NA;NA;23.46;0.54;579;9.90;17.10;40.75;0.35;1.73;2.08;44.88
18;15;BRISONr_14;2020;KAD;LN_WF;B1;298;NA;220;265;67.00;76.43;NA;NA;23.21;0.52;558;8.80;11.30;52.85;0.37;2.12;1.49;41.73
18;16;BRISONr_199;2020;KAD;LN_WF;B1;298;NA;223;269;77.50;75.41;NA;NA;26.26;0.57;646;9.60;24.30;49.20;0.38;1.85;2.59;46.23
18;17;BRISONr_40;2020;KAD;LN_WF;B1;298;NA;223;270;69.00;71.51;NA;NA;23.94;0.51;575;9.10;5.70;46.05;0.32;1.85;2.59;46.23
18;18;BRISONr_41;2020;KAD;LN_WF;B1;298;NA;222;264;65.50;75.14;NA;NA;22.88;0.56;546;8.70;16.80;46.95;0.37;2.06;2.36;42.92
18;19;BRISONr_146;2020;KAD;LN_WF;B1;298;NA;220;269;89.50;72.11;NA;NA;22.89;0.53;746;9.90;13.50;49.40;0.35;1.35;1.80;43.61
18;20;BRISONr_83;2020;KAD;LN_WF;B1;298;NA;223;258;71.50;65.89;NA;NA;23.42;0.49;596;10.40;25.60;50.50;0.35;2.06;2.46;44.86
18;21;BRISONr_106;2020;KAD;LN_WF;B1;298;NA;222;269;75.50;60.92;NA;NA;23.85;0.50;629;10.00;24.20;44.25;0.41;2.08;3.00;44.27
19;1;BRISONr_156;2020;KAD;LN_WF;B1;298;NA;221;269;94.00;77.03;NA;NA;22.29;0.51;783;9.60;13.40;49.55;0.40;2.08;3.00;44.27
19;2;BRISONr_206;2020;KAD;LN_WF;B1;298;NA;222;271;76.00;79.78;NA;NA;22.49;0.53;633;12.20;28.10;45.85;0.34;2.08;3.00;44.27
19;3;BRISONr_225;2020;KAD;LN_WF;B1;298;NA;221;265;72.50;45.68;NA;NA;23.3;0.54;604;9.80;22.10;46.80;0.38;1.91;3.05;42.80
19;4;BRISONr_212;2020;KAD;LN_WF;B1;298;NA;222;266;73.00;85.35;NA;NA;21.65;0.53;608;9.10;15.60;44.65;0.39;2.18;3.37;42.51
19;5;BRISONr_152;2020;KAD;LN_WF;B1;298;NA;221;265;76.00;73.30;NA;NA;24.04;0.54;633;9.30;16.40;40.50;0.43;1.89;2.21;42.82
19;6;BRISONr_28;2020;KAD;LN_WF;B1;298;NA;222;272;68.00;73.68;NA;NA;22.4;0.61;567;9.50;17.20;49.25;0.37;1.97;4.81;33.34
19;7;BRISONr_181;2020;KAD;LN_WF;B1;298;NA;223;272;67.50;72.92;NA;NA;23.49;0.48;563;8.80;14.90;40.85;0.46;1.65;2.96;44.68
19;8;BRISONr_144;2020;KAD;LN_WF;B1;298;NA;223;265;85.00;67.89;NA;NA;17.48;0.52;708;8.90;16.00;45.00;0.37;1.97;3.71;57.13
19;9;BRISONr_27;2020;KAD;LN_WF;B1;298;NA;226;268;76.00;77.14;NA;NA;22.45;0.54;633;9.10;19.70;46.65;0.41;2.18;2.85;43.60
19;10;BRISONr_122;2020;KAD;LN_WF;B1;298;NA;224;265;77.50;64.11;NA;NA;24.08;0.50;646;9.60;21.00;54.05;0.32;1.65;2.96;44.68
19;11;BRISONr_117;2020;KAD;LN_WF;B1;298;NA;219;269;75.00;69.84;NA;NA;21.76;0.54;625;9.80;17.20;46.55;0.35;2.14;3.56;42.22
19;12;BRISONr_29;2020;KAD;LN_WF;B1;298;NA;221;266;65.00;71.19;NA;NA;22.77;0.53;542;9.10;22.10;46.80;0.42;2.14;3.56;42.22
19;13;BRISONr_71;2020;KAD;LN_WF;B1;298;NA;222;265;74.00;64.59;NA;NA;22.16;0.52;617;9.30;18.30;45.20;0.40;1.65;2.96;44.68
19;14;BRISONr_11;2020;KAD;LN_WF;B1;298;NA;220;263;77.00;69.89;NA;NA;21.45;0.54;642;9.20;16.90;50.80;0.37;2.25;5.05;34.77
19;15;BRISONr_167;2020;KAD;LN_WF;B1;298;NA;212;265;92.50;57.24;NA;NA;24.36;0.42;771;9.50;10.90;50.90;0.36;2.00;2.82;45.15
19;16;BRISONr_60;2020;KAD;LN_WF;B1;298;NA;222;265;75.50;71.30;NA;NA;23.13;0.52;629;9.40;10.30;51.15;0.37;2.25;2.69;46.38
19;17;BRISONr_166;2020;KAD;LN_WF;B1;298;NA;224;273;87.00;69.14;NA;NA;24.47;0.53;725;9.20;11.70;47.25;0.35;1.98;2.56;44.37
19;18;BRISONr_226;2020;KAD;LN_WF;B1;298;NA;213;265;77.00;72.70;NA;NA;24.65;0.55;642;8.50;11.80;45.10;0.41;2.00;2.82;45.15
19;19;BRISONr_23;2020;KAD;LN_WF;B1;298;NA;225;266;72.50;72.59;NA;NA;26.78;0.57;604;9.20;14.20;56.55;0.45;2.00;2.82;45.15
19;20;BRISONr_171;2020;KAD;LN_WF;B1;298;NA;220;266;92.00;74.16;NA;NA;24.71;0.54;767;9.70;18.50;47.15;0.39;2.06;3.66;43.87
20;1;BRISONr_38;2020;KAD;LN_WF;B1;298;NA;220;263;75.00;70.81;NA;NA;21.58;0.55;625;9.50;15.30;47.30;0.31;2.02;3.43;43.37
20;2;BRISONr_9;2020;KAD;LN_WF;B1;298;NA;215;265;64.00;74.43;NA;NA;24.24;0.51;533;9.70;14.00;50.30;0.35;1.85;3.54;43.30
20;3;BRISONr_31;2020;KAD;LN_WF;B1;298;NA;215;268;72.50;74.22;NA;NA;22.59;0.51;604;9.20;20.50;47.25;0.36;2.06;3.66;43.87
20;4;BRISONr_92;2020;KAD;LN_WF;B1;298;NA;221;265;80.00;39.57;NA;NA;21.34;0.57;667;9.00;20.60;43.75;0.38;2.06;3.66;43.87
20;5;BRISONr_15;2020;KAD;LN_WF;B1;298;NA;222;268;63.50;76.00;NA;NA;20.54;0.59;529;9.10;21.20;47.20;0.39;2.03;3.30;45.35
20;6;BRISONr_37;2020;KAD;LN_WF;B1;298;NA;221;265;72.00;69.51;NA;NA;25.82;0.50;600;9.50;12.60;48.35;0.40;1.84;3.08;43.45
20;7;BRISONr_76;2020;KAD;LN_WF;B1;298;NA;221;271;85.00;66.70;NA;NA;23.59;0.57;708;10.60;26.80;52.00;0.40;1.95;3.82;54.84
20;8;BRISONr_8;2020;KAD;LN_WF;B1;298;NA;219;264;67.00;72.81;NA;NA;24.67;0.52;558;9.30;16.10;54.95;0.36;2.03;3.30;45.35
20;9;BRISONr_124;2020;KAD;LN_WF;B1;298;NA;217;271;79.50;60.38;NA;NA;20.57;0.50;663;8.90;12.80;44.35;0.33;2.03;3.30;45.35
20;10;BRISONr_186;2020;KAD;LN_WF;B1;298;NA;220;260;57.50;70.00;NA;NA;21.34;0.58;479;9.20;10.80;42.20;0.47;2.45;2.33;44.09
20;11;BRISONr_201;2020;KAD;LN_WF;B1;298;NA;221;267;61.50;76.49;NA;NA;24.86;0.59;513;9.30;13.10;44.70;0.37;1.93;2.21;42.76
20;12;BRISONr_19;2020;KAD;LN_WF;B1;298;NA;221;264;67.50;71.73;NA;NA;22.98;0.51;563;9.30;14.80;44.85;0.34;2.03;2.19;42.90
20;13;BRISONr_26;2020;KAD;LN_WF;B1;298;NA;223;266;79.50;77.78;NA;NA;22.51;0.57;663;8.90;12.90;44.05;0.38;2.02;4.18;45.04
20;14;BRISONr_3;2020;KAD;LN_WF;B1;298;NA;212;265;64.50;48.27;NA;NA;19.86;0.51;538;9.50;18.80;50.85;0.36;2.02;4.18;45.04
20;15;BRISONr_148;2020;KAD;LN_WF;B1;298;NA;222;268;76.00;74.92;NA;NA;22.92;0.57;633;9.60;16.20;45.50;0.39;1.75;3.59;44.56
20;16;BRISONr_50;2020;KAD;LN_WF;B1;298;NA;221;269;71.50;65.03;NA;NA;21.35;0.49;596;9.50;21.70;44.35;0.40;1.75;3.59;44.56
20;17;BRISONr_113;2020;KAD;LN_WF;B1;298;NA;227;265;70.00;70.54;NA;NA;24.24;0.57;583;9.10;15.40;46.60;0.32;1.82;3.22;42.66
20;18;BRISONr_6;2020;KAD;LN_WF;B1;298;NA;222;266;70.00;65.30;NA;NA;19.34;0.55;583;9.10;17.40;50.35;0.41;1.82;3.22;42.66
20;19;BRISONr_205;2020;KAD;LN_WF;B1;298;NA;226;259;69.00;79.14;NA;NA;22.61;0.52;575;9.50;16.60;38.00;0.38;1.82;3.22;42.66
21;1;BRISONr_95;2020;KAD;LN_WF;B1;298;NA;220;269;70.50;78.38;NA;NA;22.27;0.56;588;10.10;18.80;52.95;0.38;1.83;4.11;43.75
21;2;BRISONr_1;2020;KAD;LN_WF;B1;298;NA;224;272;67.50;70.05;NA;NA;21.72;0.51;563;9.50;15.50;51.20;0.40;1.83;4.11;43.75
21;3;BRISONr_209;2020;KAD;LN_WF;B1;298;NA;213;267;77.50;70.38;NA;NA;23.33;0.52;646;11.70;25.20;42.65;0.42;1.98;3.24;44.00
21;4;BRISONr_65;2020;KAD;LN_WF;B1;298;NA;212;265;64.50;78.00;NA;NA;24.47;0.56;538;9.10;13.10;44.75;0.44;1.98;3.24;44.00
21;5;BRISONr_42;2020;KAD;LN_WF;B1;298;NA;224;269;69.50;80.43;NA;NA;20.56;0.57;579;8.90;21.20;48.40;0.34;1.98;3.24;44.00
21;6;BRISONr_141;2020;KAD;LN_WF;B1;298;NA;223;269;89.50;77.73;NA;NA;22.75;0.59;746;8.90;18.90;45.60;0.33;2.01;4.04;43.68
21;7;BRISONr_140;2020;KAD;LN_WF;B1;298;NA;220;264;86.50;70.76;NA;NA;21.4;0.58;721;9.00;13.40;45.00;0.36;2.01;4.04;43.68
21;8;BRISONr_111;2020;KAD;LN_WF;B1;298;NA;221;267;69.50;72.22;NA;NA;21.78;0.54;579;9.10;16.10;49.40;0.33;1.81;3.89;44.11
21;9;BRISONr_47;2020;KAD;LN_WF;B1;298;NA;223;264;67.50;80.76;NA;NA;24.59;0.56;563;10.90;28.20;48.40;0.37;1.81;3.89;44.11
21;10;BRISONr_59;2020;KAD;LN_WF;B1;298;NA;216;264;74.50;77.08;NA;NA;23.62;0.52;621;9.90;18.60;55.35;0.36;1.96;3.30;44.13
21;11;BRISONr_34;2020;KAD;LN_WF;B1;298;NA;225;267;70.00;68.76;NA;NA;21.77;0.49;583;9.50;21.00;47.20;0.38;1.96;3.30;44.13
21;12;BRISONr_75;2020;KAD;LN_WF;B1;298;NA;222;264;76.00;72.76;NA;NA;21.44;0.50;633;9.30;23.10;43.45;0.36;1.96;3.30;44.13
21;13;BRISONr_84;2020;KAD;LN_WF;B1;298;NA;222;265;75.00;75.51;NA;NA;24.8;0.52;625;10.30;19.50;47.85;0.34;1.84;3.24;43.93
21;14;BRISONr_191;2020;KAD;LN_WF;B1;298;NA;224;267;71.00;62.05;NA;NA;21.47;0.53;592;9.20;23.40;47.55;0.37;1.84;3.24;43.93
21;15;BRISONr_91;2020;KAD;LN_WF;B1;298;NA;221;265;68.50;59.51;NA;NA;23.32;0.50;571;8.90;7.20;47.90;0.35;1.75;3.47;43.84
