Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
10;59;BRISONr_1;2016;GGE;1;LN_NF;B1;293;NA;NA;NA;84.6;38.4;523.81428;1181;46;40;333.3;NA;NA;NA;NA;NA;NA;20;108;10
13;32;BRISONr_1;2016;GGE;1;LN_NF;B2;293;NA;147;NA;84.2;41.3;500.21664;1154;45;36;333.3;1;1;NA;1;NA;NA;20;134;10
9;88;BRISONr_2;2016;GGE;1;LN_NF;B1;293;NA;NA;NA;77;29.9;298.9701;872;35;29;299.97;NA;NA;NA;NA;NA;NA;22;62;10
14;67;BRISONr_2;2016;GGE;1;LN_NF;B2;293;NA;150;NA;74.8;29.1;218.24484;617;37.2;23;213.5;5.5;1;NA;1;NA;NA;18;62;9
10;45;BRISONr_3;2016;GGE;1;LN_NF;B1;293;NA;NA;NA;78.6;39.6;400.15998;923;45;39;293.5;NA;NA;NA;NA;NA;NA;22;157;10
14;74;BRISONr_3;2016;GGE;1;LN_NF;B2;293;NA;153;NA;77.2;46.2;514.9485;1163;46;36;399.96;2;1;NA;1;NA;NA;31;132;11
9;73;BRISONr_4;2016;GGE;1;LN_NF;B1;293;NA;NA;NA;80.8;39.7;529.6137;1295;39.2;31;413.5;NA;NA;NA;NA;NA;NA;9;62;9
14;55;BRISONr_4;2016;GGE;1;LN_NF;B2;293;NA;154;NA;85.2;44.9;385.56144;977;38.7;30;326.5;2;1;NA;1;NA;NA;12;62;9
9;50;BRISONr_5;2016;GGE;1;LN_NF;B1;293;NA;NA;NA;84.8;42.8;465.6201;1112;46;36;333.3;NA;NA;NA;NA;NA;NA;21;223;10
14;47;BRISONr_5;2016;GGE;1;LN_NF;B2;293;NA;147;NA;85.8;45.8;517.08162;1250;43;38;326.5;2;1;NA;1;NA;NA;18.63;253;10
10;72;BRISONr_6;2016;GGE;1;LN_NF;B1;293;NA;NA;NA;83.6;40.9;402.89304;947;38.7;35;273.5;NA;NA;NA;NA;NA;NA;19;77;10
14;63;BRISONr_6;2016;GGE;1;LN_NF;B2;293;NA;151;NA;87.2;44.2;573.80928;1379;41;34;426.5;2;1;NA;1;NA;NA;22;115;11
