"Parameter","Environment","Ab_BP","Ab_BPsd","Ab_BPCIl","Ab_BPCIu","v1970","v2010","p","R2"
"BBCH59","2015/KAL/HN_NF_RF",-0.0438226834789826,0.00449209837810297,-0.0526866304589251,-0.0349587364990401,151.95381737309,150.200910033931,0,0.35
"BBCH59","2015/KAL/HN_WF_RF",-0.0265517200962052,0.00432932750929299,-0.0350944825807137,-0.0180089576116967,151.428968186443,150.366899382595,0,0.17
"BBCH59","2016/KAL/HN_NF_RF",-0.00508138207984943,0.00151694467022423,-0.00807466406002998,-0.00208810009966887,154.280129173906,154.076873890712,0,0.06
"BBCH59","2016/KAL/HN_WF_RF",-0.00962299308029108,0.00190512425338572,-0.0133822429788529,-0.00586374318172922,154.734577691932,154.34965796872,0,0.12
"BBCH59","2017/GGE/HN_WF_RF",-0.0157876233574587,0.0046583985979334,-0.0249797190570541,-0.0065955276578632,149.768445548811,149.136940614512,0,0.06
"BBCH59","2017/KAL/HN_NF_RF",0.00215066768070551,0.00333095646415592,-0.00442207828467636,0.00872341364608737,148.615885921775,148.701912629003,0,0
"BBCH59","2017/KAL/HN_WF_RF",-0.0151746706938209,0.00304946111704404,-0.0211919613637304,-0.00915738002391143,149.226735170637,148.619748342884,0,0.12
"BBCH59","2018/GGE/HN_WF_RF",0.000996736386831735,0.00570405812473983,-0.0106367668576018,0.0126302396312653,135.436050367992,135.475919823465,0,0
"BBCH59","2018/HAN/HN_NF_RF",-0.0185324318859406,0.00895219777322503,-0.036790559619233,-0.000274304152648158,148.626416242584,147.885118967146,0,0.12
"BBCH59","2018/HAN/HN_WF_RF",-0.0164205871756419,0.00598154038147346,-0.0286200192138201,-0.00422115513746365,148.525290810691,147.868467323666,0,0.2
"BBCH59","2018/HAN/LN_WF_RF",-0.0253123381513126,0.00650196046013366,-0.038573173937693,-0.0120515023649322,148.833468652795,147.820975126743,0,0.33
"BBCH59","2018/KAL/HN_WF_RF",-0.0296954296643517,0.0065145747011389,-0.0425531899856411,-0.0168376693430624,147.194105592892,146.006288406318,0,0.11
"BBCH59","2018/KAL/LN_WF_RF",-0.0192695244592074,0.0068114168443582,-0.0327131595775275,-0.00582588934088735,146.274747802431,145.503966824062,0,0.04
"BBCH59","2018/KIE/HN_WF_RF",-0.0258375407775901,0.00841966067573972,-0.0430095519398563,-0.00866552961532389,153.5701204023,152.536618771196,0,0.23
"BBCH59","2018/KIE/LN_WF_RF",-0.0278693184665349,0.00743092580797959,-0.0430247915710833,-0.0127138453619864,153.616078055392,152.501305316731,0,0.31
"BBCH59","2019/HAN/HN_NF_RF",0.000150410122057104,0.00690988827672416,-0.0139423999314187,0.0142432201755329,158.359726799269,158.365743204151,0,0
"BBCH59","2019/HAN/HN_WF_RF",-0.019300457097741,0.00651499746750426,-0.0325878820359545,-0.00601303215952748,158.57686523719,157.80484695328,0,0.22
"BBCH59","2019/HAN/LN_WF_RF",-0.0314009652810681,0.00683494236488286,-0.0453409221395911,-0.017461008422545,157.798327010865,156.542288399622,0,0.41
"BBCH59","2019/KAL/HN_WF_RF",-0.0329193340574815,0.0060842103705974,-0.0449276879836047,-0.0209109801313583,155.721307860815,154.404534498515,0,0.14
"BBCH59","2019/KAL/LN_WF_RF",-0.023321240737348,0.00761222871527032,-0.0383454313901424,-0.00829705008455362,153.949642780877,153.016793151383,0,0.05
"BBCH59","2019/KIE/HN_WF_RF",-0.0449848883984963,0.00900666921508176,-0.0633541113699001,-0.0266156654270924,157.073666922273,155.274271386333,0,0.45
"BBCH59","2019/KIE/LN_WF_RF",-0.043954746496968,0.00798929159375317,-0.0602490141296094,-0.0276604788643266,157.48494834738,155.726758487501,0,0.49
"BBCH59","2020/KAL/HN_WF_RF",0.0265352868160799,0.00557417160527692,0.0155335920350135,0.0375369815971463,154.700113197222,155.761524669865,0,0.12
"BBCH59","2020/KAL/LN_WF_RF",-0.028235180334441,0.00394602156536315,-0.0360234093190911,-0.0204469513497909,155.189002085878,154.0595948725,0,0.23
"BBCH87","2015/GGE/HN_WF_RF",-0.00419697592935998,0.00980419267547203,-0.0257758585147531,0.0173819066560331,187.922835270188,187.754956233013,0,0.02
"BBCH87","2015/KAL/HN_NF_RF",-0.00279965928281431,0.00281785389175762,-0.00835993543694254,0.00276061687131393,195.644627030024,195.532640658711,0,0.01
"BBCH87","2015/KAL/HN_WF_RF",-0.0169723261893784,0.0034326438982953,-0.0237457249341232,-0.0101989274446337,195.559251395713,194.880358348138,0,0.12
"BBCH87","2015/QLB/HN_NF_RF",-0.00431130051782218,0.00446790820401244,-0.0141451001715052,0.00552249913586088,188.688310352713,188.515858332,0,0.08
"BBCH87","2015/QLB/HN_WF_RF",-0.0384233872939367,0.0069417585647155,-0.0537020948798146,-0.0231446797080589,189.419562324881,187.882626833124,0,0.74
"BBCH87","2015/QLB/LN_WF_RF",0.00583489335030035,0.00482463129936826,-0.00478404854252283,0.0164538352431235,187.551080386276,187.784476120288,0,0.12
"BBCH87","2016/KAL/HN_NF_RF",-0.019117764305451,0.00140987469683578,-0.021899772513916,-0.016335756096986,205.803889125793,205.039178553575,0,0.51
"BBCH87","2016/KAL/HN_WF_RF",-0.0159518342251358,0.00130067250255639,-0.0185183612979016,-0.0133853071523699,205.593203032505,204.9551296635,0,0.46
"BBCH87","2016/QLB/HN_NF_RF",0.0936998554663769,0.0102320749417765,0.0711792103625813,0.116220500570173,187.162874634922,190.910868853577,0.9021,0.88
