Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-03-20;KIE;12,4;1,0;63,8;14,66;6,5;6,5;18,7
2014-03-21;KIE;7,2;9,8;87,2;3,89;5,1;2,8;12,5
2014-03-22;KIE;5,5;1,0;88,1;10,02;3,6;2,1;11,2
2014-03-23;KIE;5,1;0,0;86,2;11,83;3,6;1,8;10,0
2014-03-24;KIE;4,4;0,4;85,0;12,61;2,0;-0,6;9,6
2014-03-25;KIE;4,4;2,3;80,7;15,21;3,1;-1,9;9,6
2014-03-26;KIE;5,1;0,5;83,5;10,32;4,9;2,3;9,8
2014-03-27;KIE;4,1;0,8;88,2;11,60;5,3;2,2;6,6
2014-03-28;KIE;5,1;0,8;93,5;4,45;4,7;3,4;6,6
2014-03-29;KIE;6,6;0,8;94,2;9,71;3,5;2,3;11,0
2014-03-30;KIE;7,6;0,8;91,2;14,01;2,1;1,3;14,3
2014-03-31;KIE;6,0;0,8;96,6;5,37;1,7;2,1;10,6
2014-04-01;KIE;5,3;2,3;94,2;3,96;4,7;4,1;7,0
2014-04-02;KIE;8,1;2,3;86,7;12,53;3,6;4,0;15,6
2014-04-03;KIE;5,9;2,3;89,2;13,52;5,4;3,5;10,5
2014-04-04;KIE;5,5;20,6;80,2;5,77;7,2;4,2;7,0
2014-04-05;KIE;8,0;0,3;97,1;4,17;2,8;5,0;10,8
2014-04-06;KIE;11,1;10,4;98,1;4,22;3,5;7,9;13,8
2014-04-07;KIE;14,2;0,2;87,4;8,25;4,1;12,2;17,8
2014-04-08;KIE;10,2;7,8;87,8;7,13;6,1;6,5;15,6
2014-04-09;KIE;8,2;0,0;84,6;9,82;7,5;5,9;11,1
2014-04-10;KIE;7,7;0,0;90,2;7,16;2,5;4,1;10,7
2014-04-11;KIE;9,0;0,0;83,7;12,93;3,3;3,6;13,4
2014-04-12;KIE;7,3;1,6;84,1;13,11;3,5;0,7;12,7
2014-04-13;KIE;8,9;6,4;80,1;14,73;6,7;6,9;12,3
2014-04-14;KIE;7,2;1,6;77,5;14,38;8,9;4,5;10,3
2014-04-15;KIE;7,0;2,3;66,6;21,41;5,5;1,1;11,7
2014-04-16;KIE;6,8;2,3;63,1;21,48;2,1;-1,0;13,3
2014-04-17;KIE;9,3;5,2;66,3;15,25;5,3;4,5;16,1
2014-04-18;KIE;6,9;0,1;84,6;6,87;4,6;4,2;10,2
2014-04-19;KIE;9,2;2,3;81,9;20,90;4,7;3,9;13,9
2014-04-20;KIE;11,7;0,0;77,0;22,15;5,8;7,7;16,8
2014-04-21;KIE;11,2;0,0;84,9;14,57;5,6;8,4;16,4
2014-04-22;KIE;12,1;11,8;89,2;15,77;3,6;7,8;17,5
2014-04-23;KIE;9,7;0,0;94,1;5,88;3,9;7,6;12,0
2014-04-24;KIE;8,4;2,3;90,4;5,08;5,0;6,8;10,4
2014-04-25;KIE;11,3;2,3;83,1;22,81;4,2;6,0;16,6
2014-04-26;KIE;12,2;2,3;80,1;23,47;3,9;6,4;18,1
2014-04-27;KIE;12,9;2,3;78,9;23,37;4,9;8,0;18,6
2014-04-28;KIE;12,3;2,3;73,2;23,79;3,4;6,3;17,9
2014-04-29;KIE;13,2;2,3;59,6;23,68;1,8;3,9;19,5
2014-04-30;KIE;13,4;2,3;67,4;20,06;2,4;6,5;19,9
2014-05-01;KIE;9,0;0,0;72,5;20,42;4,8;5,3;12,5
2014-05-02;KIE;7,9;0,0;63,4;17,70;4,2;1,3;11,4
2014-05-03;KIE;7,5;0,0;68,2;21,16;3,9;-0,2;13,7
2014-05-04;KIE;7,9;0,0;65,4;8,19;4,4;4,2;10,8
2014-05-05;KIE;8,8;0,0;78,7;5,46;2,2;4,1;12,3
2014-05-06;KIE;12,4;7,3;73,7;10,17;3,6;8,4;18,1
2014-05-07;KIE;12,1;2,0;87,7;14,40;4,2;9,5;16,3
2014-05-08;KIE;10,7;11,7;92,3;9,27;3,8;8,8;14,2
2014-05-09;KIE;10,6;5,1;92,9;10,11;3,3;7,9;14,4
2014-05-10;KIE;11,2;7,0;88,5;8,19;4,4;8,4;14,6
2014-05-11;KIE;10,6;11,1;90,8;9,41;5,1;8,8;13,0
2014-05-12;KIE;10,8;3,1;86,2;11,91;5,6;8,6;14,2
2014-05-13;KIE;9,4;0,9;78,9;15,78;5,3;6,2;13,3
2014-05-14;KIE;9,2;0,0;76,3;14,17;5,6;6,1;12,8
2014-05-15;KIE;11,1;2,5;83,0;17,33;3,1;5,8;16,2
2014-05-16;KIE;10,6;2,5;84,1;21,05;2,8;4,7;15,7
2014-05-17;KIE;12,5;2,5;81,1;22,95;2,1;5,8;19,1
2014-05-18;KIE;13,6;0,6;82,3;19,09;3,6;8,0;19,1
2014-05-19;KIE;13,2;0,0;90,1;13,64;2,6;9,8;16,7
2014-05-20;KIE;16,4;2,5;80,0;27,45;3,0;8,7;22,7
2014-05-21;KIE;20,6;0,0;69,8;21,60;2,8;13,2;28,2
2014-05-22;KIE;21,4;19,2;66,6;25,90;3,0;16,2;27,6
2014-05-23;KIE;15,8;5,2;91,0;13,40;3,8;10,7;20,3
2014-05-24;KIE;15,2;0,3;83,0;23,91;2,3;9,3;20,4
2014-05-25;KIE;16,7;2,5;74,9;22,22;2,6;11,5;22,0
2014-05-26;KIE;16,7;2,5;76,2;27,93;3,9;10,5;21,4
2014-05-27;KIE;13,0;0,0;82,1;16,11;8,3;10,1;17,6
2014-05-28;KIE;9,7;2,5;79,8;9,67;9,4;7,1;10,8
2014-05-29;KIE;10,6;2,5;69,2;22,89;4,3;5,4;14,5
2014-05-30;KIE;13,0;2,5;71,7;28,38;4,8;4,5;19,1
2014-05-31;KIE;12,9;2,5;76,7;20,99;6,3;9,4;17,0
2014-06-01;KIE;12,1;0,0;79,9;12,41;2,5;7,1;15,6
2014-06-02;KIE;13,6;1,4;74,2;27,33;2,1;5,6;19,6
2014-06-03;KIE;15,8;1,4;69,3;24,36;1,7;7,4;21,9
2014-06-04;KIE;17,1;1,7;70,0;25,71;3,8;10,2;22,8
2014-06-05;KIE;14,3;15,0;80,1;15,95;4,1;11,4;18,0
2014-06-06;KIE;15,2;1,4;68,9;25,83;4,5;8,8;20,6
2014-06-07;KIE;15,4;0,0;75,1;26,33;2,3;7,3;21,2
2014-06-08;KIE;18,7;0,0;79,2;18,07;2,8;13,4;25,6
2014-06-09;KIE;18,3;0,0;79,6;23,68;3,4;13,5;23,3
2014-06-10;KIE;21,8;1,8;74,4;24,19;2,9;16,3;28,3
2014-06-11;KIE;18,6;0,1;79,1;18,96;3,3;12,2;22,6
2014-06-12;KIE;16,1;0,3;76,1;23,95;4,2;11,2;20,9
2014-06-13;KIE;15,2;0,0;77,6;14,32;6,1;12,0;18,7
2014-06-14;KIE;15,6;1,4;70,8;23,32;4,3;9,8;20,5
2014-06-15;KIE;15,2;1,4;67,0;27,88;2,7;7,8;21,1
2014-06-16;KIE;15,7;0,0;78,4;16,52;3,3;10,8;20,7
2014-06-17;KIE;16,6;1,4;66,2;27,51;3,0;10,1;22,2
2014-06-18;KIE;15,2;1,4;78,1;17,51;4,6;10,1;20,3
2014-06-19;KIE;14,2;0,4;79,6;10,69;7,6;12,7;16,9
2014-06-20;KIE;13,9;0,8;69,6;17,72;7,4;11,2;17,3
2014-06-21;KIE;13,3;3,7;83,7;15,77;6,2;11,0;17,5
2014-06-22;KIE;13,3;1,4;69,6;21,30;6,8;10,3;17,0
2014-06-23;KIE;13,7;2,8;70,4;19,40;6,0;10,2;18,0
2014-06-24;KIE;13,1;2,4;79,7;10,17;2,9;10,9;16,4
2014-06-25;KIE;15,0;0,0;71,7;26,70;2,8;8,8;20,2
2014-06-26;KIE;14,2;9,7;76,5;21,22;2,0;8,1;20,7
2014-06-27;KIE;15,6;0,6;75,4;17,35;2,6;9,3;22,9
2014-06-28;KIE;15,7;18,5;84,8;14,57;2,6;12,4;20,1
2014-06-29;KIE;15,3;0,8;80,2;17,07;2,8;11,3;19,7
2014-06-30;KIE;14,6;0,8;74,6;23,57;3,8;9,5;20,2
2014-07-01;KIE;13,0;3,6;83,4;18,51;3,6;9,3;18,1
2014-07-02;KIE;14,1;0,0;78,8;18,35;4,4;9,0;19,0
2014-07-03;KIE;16,4;1,7;71,1;14,52;3,9;9,7;22,2
2014-07-04;KIE;21,2;1,7;58,4;27,66;3,1;13,1;28,2
2014-07-05;KIE;20,7;1,7;78,1;13,10;2,3;16,6;28,5
2014-07-06;KIE;21,8;1,9;77,5;21,49;3,2;15,9;27,7
2014-07-07;KIE;19,1;0,0;76,2;17,95;3,6;14,8;22,2
2014-07-08;KIE;18,1;12,2;91,9;8,78;4,2;14,2;22,4
2014-07-09;KIE;22,1;1,7;79,4;25,98;6,6;18,3;26,6
2014-07-10;KIE;22,0;1,7;70,8;28,34;5,4;17,7;26,5
2014-07-11;KIE;20,2;1,7;69,0;27,90;5,1;15,6;24,2
2014-07-12;KIE;18,2;0,6;67,2;23,56;3,3;13,2;22,0
2014-07-13;KIE;16,6;9,7;84,6;7,61;3,3;13,1;20,9
2014-07-14;KIE;17,2;0,0;87,0;13,33;6,0;13,1;21,2
2014-07-15;KIE;18,8;0,0;77,7;20,20;4,0;14,0;23,4
2014-07-16;KIE;17,7;1,7;78,3;15,91;2,1;11,9;22,4
2014-07-17;KIE;18,8;1,7;73,6;25,58;1,9;10,1;25,0
2014-07-18;KIE;21,5;1,7;69,1;25,77;2,7;13,9;27,5
2014-07-19;KIE;23,4;1,7;60,7;26,79;4,5;17,6;29,3
2014-07-20;KIE;21,6;0,0;70,6;20,61;5,5;17,4;26,6
2014-07-21;KIE;21,4;1,7;73,0;25,21;5,8;17,7;25,3
2014-07-22;KIE;22,0;0,0;65,9;26,79;5,2;17,1;26,8
2014-07-23;KIE;21,2;1,7;64,0;27,22;4,4;15,1;26,6
2014-07-24;KIE;21,5;0,0;65,1;24,39;3,9;16,1;26,7
2014-07-25;KIE;22,8;0,5;67,0;21,17;5,4;18,2;28,0
2014-07-26;KIE;21,1;2,8;82,7;15,72;3,5;17,2;25,2
2014-07-27;KIE;21,1;0,1;80,7;18,56;2,3;15,7;27,9
2014-07-28;KIE;21,2;1,7;78,6;23,62;2,5;15,3;26,9
2014-07-29;KIE;22,7;1,7;73,3;23,76;3,6;17,4;27,7
2014-07-30;KIE;19,9;0,0;72,3;15,42;4,3;14,5;25,0
2014-07-31;KIE;18,8;0,0;73,3;19,62;3,9;13,6;24,3
2014-08-01;KIE;22,2;3,5;59,8;22,55;3,5;16,1;28,2
2014-08-02;KIE;22,6;0,0;68,8;20,70;4,4;17,5;27,6
2014-08-03;KIE;21,3;2,9;81,4;15,37;2,8;16,8;26,6
2014-08-04;KIE;19,5;0,2;75,0;14,05;2,5;15,0;24,0
2014-08-05;KIE;18,9;0,0;71,4;17,43;2,9;12,9;24,8
2014-08-06;KIE;18,5;0,0;64,9;22,11;2,7;10,4;24,9
2014-08-07;KIE;18,1;3,5;81,8;8,71;2,2;14,0;22,3
2014-08-08;KIE;19,4;0,0;71,7;21,16;2,7;12,0;25,4
2014-08-09;KIE;19,2;4,5;75,2;14,75;5,4;12,8;22,1
2014-08-10;KIE;20,1;0,4;72,1;16,45;4,9;13,7;24,7
2014-08-11;KIE;17,3;1,3;74,4;17,92;5,0;13,3;21,6
2014-08-12;KIE;15,0;3,1;78,7;15,16;4,0;11,7;19,5
2014-08-13;KIE;16,4;0,4;73,2;18,90;3,9;11,3;22,6
2014-08-14;KIE;16,0;1,9;84,2;13,77;3,7;12,2;20,9
2014-08-15;KIE;15,7;2,3;82,1;15,77;3,6;12,8;20,7
2014-08-16;KIE;14,6;1,2;78,6;12,11;4,6;10,7;18,3
2014-08-17;KIE;14,1;10,7;88,4;4,80;4,9;11,7;16,3
2014-08-18;KIE;13,5;5,1;87,7;11,44;5,4;11,6;16,9
2014-08-19;KIE;12,8;17,1;84,0;14,96;4,6;10,3;16,8
2014-08-20;KIE;12,8;11,9;84,2;14,95;5,2;9,7;17,1
2014-08-21;KIE;12,7;4,1;82,3;15,96;3,9;9,0;17,5
2014-08-22;KIE;13,6;10,6;82,2;10,95;4,1;10,8;17,9
2014-08-23;KIE;12,9;1,4;83,1;15,25;4,6;9,4;17,5
2014-08-24;KIE;12,5;2,9;80,6;17,94;4,8;8,8;17,3
2014-08-25;KIE;11,8;0,1;80,6;14,78;3,7;6,5;16,9
2014-08-26;KIE;12,4;0,0;80,5;18,57;2,2;4,9;19,1
2014-08-27;KIE;14,0;3,5;75,6;19,95;2,9;6,4;21,5
2014-08-28;KIE;15,0;0,0;76,9;18,58;2,4;6,6;21,8
2014-08-29;KIE;16,8;0,7;81,1;12,00;3,2;13,1;21,2
2014-08-30;KIE;15,5;11,3;89,4;7,79;2,8;13,1;20,0
2014-08-31;KIE;15,1;6,0;91,1;8,44;2,3;12,7;18,4
2014-09-01;KIE;16,2;0,5;92,4;7,07;4,1;13,6;19,5
2014-09-02;KIE;16,2;1,9;81,0;18,20;4,1;11,1;19,9
2014-09-03;KIE;15,2;1,9;81,7;18,26;4,3;9,8;20,4
2014-09-04;KIE;16,4;1,9;80,5;19,09;4,6;10,9;21,6
2014-09-05;KIE;18,1;1,9;85,0;14,50;3,2;13,0;23,7
2014-09-06;KIE;19,3;1,8;84,2;14,93;2,7;14,5;25,5
2014-09-07;KIE;17,2;0,0;89,5;7,58;2,3;11,8;21,5
2014-09-08;KIE;14,1;0,6;83,9;13,91;3,8;10,8;19,2
2014-09-09;KIE;14,3;4,4;86,8;10,90;5,1;10,1;19,2
2014-09-10;KIE;16,0;0,0;79,3;14,05;4,6;12,7;20,4
2014-09-11;KIE;15,2;0,0;83,7;14,31;4,4;11,9;19,5
2014-09-12;KIE;15,8;0,0;86,4;15,15;3,7;11,5;20,1
2014-09-13;KIE;16,0;1,2;88,0;9,49;4,8;13,0;19,2
2014-09-14;KIE;16,5;19,4;93,0;5,84;5,0;14,7;18,8
2014-09-15;KIE;18,0;0,0;88,5;12,32;6,4;16,1;21,6
2014-09-16;KIE;17,9;1,9;83,8;15,35;5,6;15,3;21,3
2014-09-17;KIE;17,3;1,9;80,4;14,51;5,2;14,4;21,7
2014-09-18;KIE;17,5;1,9;81,8;15,43;4,7;14,3;21,7
2014-09-19;KIE;17,3;1,9;84,4;15,00;3,2;13,2;22,0
2014-09-20;KIE;16,4;2,5;90,6;10,24;2,3;12,0;21,7
2014-09-21;KIE;15,0;0,1;81,5;11,05;5,3;11,7;18,5
2014-09-22;KIE;11,8;0,0;71,3;7,61;7,1;8,3;14,5
2014-09-23;KIE;11,3;0,1;76,9;11,19;3,0;4,6;16,6
2014-09-24;KIE;13,0;4,0;83,1;3,95;3,9;11,0;16,4
2014-09-25;KIE;12,9;1,6;89,4;6,01;4,7;9,9;16,1
2014-09-26;KIE;15,2;2,2;92,7;4,98;4,7;10,6;17,6
2014-09-27;KIE;12,2;1,9;84,8;11,99;3,7;7,9;17,9
2014-09-28;KIE;13,8;1,9;84,7;9,17;2,6;8,6;19,2
2014-09-29;KIE;14,9;4,0;85,1;7,33;1,8;9,4;19,6
2014-09-30;KIE;15,5;4,8;96,7;2,88;2,2;13,9;17,8
2014-10-01;KIE;15,6;0,0;91,9;5,49;2,0;13,5;18,8
