"BRISONr";"genotype";"RYear";"breeder";"Year_of_release_fin";"Quality_recent";"Release_state";"Hybrid.status";"Group"
"G70";"Skagen";2006;"v. Borris-Eckendorf";2006;"E";"Deutschland";"non-hybrid";"SK"
"G71";"Greif";1989;"Lochow-Petkus";1989;"B";"Deutschland";"non-hybrid";"SK"
"G72";"Esket";2007;"RAGT/Mellinger";2007;"A";"Deutschland";"non-hybrid";"SK"
"G73";"Primus";2009;"DSV";2009;"B";"Deutschland";"non-hybrid";"SK"
"G74";"Skalmeje";2006;"KWS Lochow GmbH";2006;"C";"Deutschland";"non-hybrid";"SK"
"G75";"Genius";2010;"Nordsaat Saatzucht";2010;"E";"Deutschland";"non-hybrid";"SK"
"G76";"Enorm";2002;"Schweiger";2002;"E";"Deutschland";"non-hybrid";"SK"
"G77";"Florian";2010;"Nordsaat Saatzucht";2010;"E";"Deutschland";"non-hybrid";"SK"
"G78";"Skater";2000;"Limagrain-Nickerson";2000;"B";"Deutschland";"non-hybrid";"SK"
"G79";"Brillant";2005;"SW Seeds";2005;"A";"Deutschland";"non-hybrid";"SK"
"G80";"Inspiration";2007;"Saatzucht Josef Breun GmbH & Co.KG";2007;"B";"Deutschland";"non-hybrid";"SK"
"G81";"Apertus";2013;"Dr. Hermann Strube";2013;"A";"Deutschland";"non-hybrid";"SK"
"G82";"Ellvis";2002;"Breun";2002;"A";"Deutschland";"non-hybrid";"SK"
"G83";"Edgar";2010;"LIMAGRAIN GmbH";2010;"B";"Deutschland";"non-hybrid";"SK"
"G84";"Maris Huntsman";1975;"Nordsaat";1975;"A";"Deutschland";"non-hybrid";"SK"
"G85";"SY Ferry";2012;"Syngenta Seeds GmbH";2012;"B";"Deutschland";"non-hybrid";"SK"
"G86";"Landsknecht";2013;"Secobra Recherches";2013;"C";"Deutschland";"non-hybrid";"SK"
"G88";"Impression";2005;"Saatzucht Schweiger GbR";2005;"A";"Deutschland";"non-hybrid";"SK"
"G89";"Winnetou";2002;"Saatzucht Firlbeck";2002;"C";"Deutschland";"non-hybrid";"SK"
"G90";"Toronto";1990;"Strengs Erben";1990;"A";"Deutschland";"non-hybrid";"SK"
"G91";"Torrild";2005;"v. Borris-Eckendorf";2005;"A";"Deutschland";"non-hybrid";"SK"
"G92";"Contra";1990;"Saatzucht Breun";1990;"C";"Deutschland";"non-hybrid";"SK"
"G93";"Schamane";2005;"Saatzucht Engelen Büchling e.K.";2005;"A";"Deutschland";"non-hybrid";"SK"
"G94";"Granada";1980;"Schweiger";1980;"B";"Deutschland";"non-hybrid";"SK"
"G95";"KWS Cobalt";2013;"KWS LOCHOW GMBH";2013;"A";"Deutschland";"non-hybrid";"SK"
"G96";"Tommi";2002;"Nordsaat";2002;"A";"Deutschland";"non-hybrid";"SK"
"G97";"Saturn";1973;"MPI";1973;"C";"Deutschland";"non-hybrid";"SK"
"G98";"Severin";1980;"Bauer, G.";1980;"E";"Deutschland";"non-hybrid";"SK"
"G99";"JB Asano";2008;"Saatzucht Josef Breun GmbH & Co.KG";2008;"A";"Deutschland";"non-hybrid";"SK"
"G100";"Kerubino";2004;"Saatzucht Schmid Landau";2004;"E";"Deutschland";"non-hybrid";"SK"
"G101";"Arktis";2010;"DSV";2010;"E";"Deutschland";"non-hybrid";"SK"
"G102";"Urban";1980;"Bauer, G.";1980;"E";"Deutschland";"non-hybrid";"SK"
"G103";"Orestis";1988;"Strube, Dr. H.";1988;"B";"Deutschland";"non-hybrid";"SK"
"G104";"Flair";1996;"Schweiger";1996;"B";"Deutschland";"non-hybrid";"SK"
"G105";"Anthus";2005;"KWS Lochow GmbH";2005;"B";"Deutschland";"non-hybrid";"SK"
"G106";"Bombus";2012;"Secobra Recherches";2012;"C";"Deutschland";"non-hybrid";"SK"
"G107";"Lucius";2006;"Secobra Recherches";2006;"A";"Deutschland";"non-hybrid";"SK"
"G108";"Herzog";1986;"Saatzucht Breun";1986;"A";"Deutschland";"non-hybrid";"SK"
"G109";"Sorbas";1985;"Strube, Dr. H.";1985;"B";"Deutschland";"non-hybrid";"SK"
"G110";"Tabor";1979;"Strube";1979;"A";"Deutschland";"non-hybrid";"SK"
"G111";"Terrier";2001;"Nickerson";2001;"B";"Deutschland";"non-hybrid";"SK"
"G112";"Magister";2005;"Bauer";2005;"E";"Deutschland";"non-hybrid";"SK"
"G113";"Altos";2000;"Syngenta Hadmersleben";2000;"E";"Deutschland";"non-hybrid";"SK"
"G114";"Progress";1969;"Hege";1969;"A";"Deutschland";"non-hybrid";"SK"
"G115";"Xanthippe";2011;"Sejet Planteforaedling I/S";2011;"C";"Deutschland";"non-hybrid";"SK"
"G116";"Avenir";2013;"Saatzucht Josef Breun";2013;"A";"Deutschland";"non-hybrid";"SK"
"G117";"Pantus";1966;"Streng";1966;"A";"Deutschland";"non-hybrid";"SK"
"G118";"Drifter";1999;"Nickerson";1999;"B";"Deutschland";"non-hybrid";"SK"
"G119";"Joss";1972;"Breustedt";1972;"C";"Deutschland";"non-hybrid";"SK"
"G120";"Kranich";1969;"Lochow-Petkus";1969;"A";"Deutschland";"non-hybrid";"SK"
"G121";"Sperber";1982;"Lochow-Petkus";1982;"A";"Deutschland";"non-hybrid";"SK"
"G122";"Discus";2007;"Pflanzenzucht SaKa GmbH&Co.KG";2007;"A";"Deutschland";"non-hybrid";"SK"
"G124";"Obelisk";1987;"Strube, Dr. H.";1987;"B";"NE; DE";"non-hybrid";"SK"
"G125";"Magnus";2000;"Engelen Büchling";2000;"A";"Deutschland";"non-hybrid";"SL"
"G126";"Disponent";1975;"Bayrische Saatzuchtgesellschaft";1975;"A";"Deutschland";"non-hybrid";"SL"
"G127";"Tambor";1993;"Semundo";1993;"A";"Deutschland";"non-hybrid";"SL"
"G128";"Boxer";2013;"Ackermann Saatzucht";2013;"C";"Deutschland";"non-hybrid";"SL"
"G129";"Sokrates";2001;"Saatzucht Engelen";2001;"A";"Deutschland";"non-hybrid";"SL"
"G130";"Carisuper";1975;"Heidenreich und Eger";1975;"A";"Deutschland";"non-hybrid";"SL"
"G131";"Rektor";1980;"Firlbeck";1980;"E";"Deutschland";"non-hybrid";"SL"
"G132";"Alves";2010;"SW Seeds";2010;"A";"Deutschland";"non-hybrid";"SL"
"G133";"NaturaStar";2002;"Saatzucht Schweiger";2002;"A";"Deutschland";"non-hybrid";"SL"
"G134";"Alidos";1987;"Saatzucht Hadmersleben";1987;"E";"Deutschland";"non-hybrid";"SL"
"G135";"Monopol";1975;"Firlbeck";1975;"E";"Deutschland";"non-hybrid";"SL"
"G136";"Akratos";2004;"Strube Saatzucht";2004;"A";"Deutschland";"non-hybrid";"SL"
"G137";"Knirps";1985;"Semundo";1985;"B";"Deutschland";"non-hybrid";"SL"
"G138";"Bussard";1990;"Lochow-Petkus";1990;"E";"Deutschland";"non-hybrid";"SL"
"G139";"Oberst";1980;"Engelen Büchling";1980;"A";"Deutschland";"non-hybrid";"SL"
"G141";"Tiger";2001;"Franck";2001;"A";"Deutschland";"non-hybrid";"SL"
"G142";"Ibis";1991;"Lochow-Petkus";1991;"A";"Deutschland";"non-hybrid";"SL"
"G143";"Batis";1994;"Strube, Dr. H.";1994;"A";"Deutschland";"non-hybrid";"SL"
"G144";"Topfit";1972;"Strube, Dr. H.";1972;"B";"Deutschland";"non-hybrid";"SL"
"G145";"Akteur";2003;"DSV";2003;"E";"Deutschland";"non-hybrid";"SL"
"G146";"Ludwig";1998;"Franck";1998;"A";"Deutschland";"non-hybrid";"SL"
"G147";"Asketis";1998;"Strube, Dr. H.";1998;"A";"Deutschland";"non-hybrid";"SL"
"G148";"Aristos";1997;"Strube, Dr. H.";1997;"A";"Deutschland";"non-hybrid";"SL"
"G149";"Zentos";1989;"Saatzucht Hadmersleben";1989;"E";"Deutschland";"non-hybrid";"SL"
"G150";"Diplomat";1966;"Firlbeck";1966;"A";"Deutschland";"non-hybrid";"SL"
"G151";"Astron";1989;"Strube, Dr. H.";1989;"A";"Deutschland";"non-hybrid";"SL"
"G152";"Basalt";1980;"Hege, H.-U.";1980;"B";"Deutschland";"non-hybrid";"SL"
"G153";"Kormoran";1973;"Lochow-Petkus";1973;"A";"Deutschland";"non-hybrid";"SL"
