"Group","id","BRISONr","genotype","RYear","quality","country","decade","maturity","height","breeder","kai","carolin"
"SL",149,"BRISONr_149","Zentos",1989,"E","DE",1980,"S","L","Saatzucht Hadmersleben",TRUE,TRUE
"SK",15,"BRISONr_15","Profilus",2008,"A","DE",2000,"S","K","RAGT/Mellinger",TRUE,TRUE
"SL",150,"BRISONr_150","Diplomat",1966,"A","DE",1960,"S","L","Firlbeck",TRUE,TRUE
"SL",151,"BRISONr_151","Astron",1989,"A","DE",1980,"S","L","Strube, Dr. H.",TRUE,TRUE
"SL",152,"BRISONr_152","Basalt",1980,"B","DE",1980,"S","L","Hege, H.-U.",TRUE,TRUE
"SL",153,"BRISONr_153","Kormoran",1973,"A","DE",1970,"S","L","Lochow-Petkus",TRUE,TRUE
"SL",154,"BRISONr_154","Aron",1992,"E","DE",1990,"S","L","Semundo",TRUE,TRUE
"SL",155,"BRISONr_155","KWS Milaneco",2013,"E","DE",2010,"S","L","KWS LOCHOW GMBH",TRUE,TRUE
"SL",156,"BRISONr_156","Aszita",2005,"B","DE",2000,"S","L","Getreidezüchtung Peter Kunz",TRUE,FALSE
"SL",157,"BRISONr_157","Kobold",1978,"B","DE",1970,"S","L","Firlbeck",TRUE,TRUE
"SL",158,"BRISONr_158","Carimulti",1975,"B","DE",1970,"S","L","Heidenreich und Eger",TRUE,TRUE
"SL",159,"BRISONr_159","Admiral",1968,"A","DE",1960,"S","L","Firlbeck",TRUE,TRUE
"SK",16,"BRISONr_16","Durin",NA,NA,"FR",NA,"S","K",NA,FALSE,FALSE
"SL",160,"BRISONr_160","Vuka",1975,"A","DE",1970,"S","L","Franck",TRUE,TRUE
"SL",161,"BRISONr_161","Benno",1973,"E","DE",1970,"S","L","Bauer, G.",TRUE,TRUE
"SL",162,"BRISONr_162","Apollo",1984,"C","DE",1980,"S","L","Saatzucht Breun",TRUE,TRUE
"SL",163,"BRISONr_163","Aquila",1979,"B3","EU",1970,"S","L","Nickerson",TRUE,TRUE
"SL",164,"BRISONr_164","Kanzler",1980,"B","DE",1980,"S","L","Engelen Buechling",TRUE,TRUE
"SL",165,"BRISONr_165","Kraka",1982,"A","DE",1980,"S","L","Petersen, A.S.",TRUE,TRUE
"SL",166,"BRISONr_166","Caribo",1968,"B","DE",1960,"S","L","Heidenreich und Eger",TRUE,TRUE
"SL",167,"BRISONr_167","Butaro",2009,"E","DE",2000,"S","L","LandbauschuleDottenfelderhof e.V./Spieß",TRUE,FALSE
"SL",168,"BRISONr_168","Konsul",1990,"B","DE",1990,"S","L","Svaloef Weibull",TRUE,TRUE
"SL",169,"BRISONr_169","Ares",1983,"B","DE",1980,"S","L","Strube, Dr. H.",TRUE,TRUE
"SK",17,"BRISONr_17","KWS Pius",2010,"A","DE",2010,"S","K","KWS Lochow",TRUE,TRUE
"FL",170,"BRISONr_170","Centurk",1971,"exot","USA",1970,"F","L","Nebraska Agricultural Experiment Station, USDA-ARS",FALSE,FALSE
"FL",171,"BRISONr_171","NS 22/92",NA,NA,"SRB",NA,"F","L",NA,FALSE,FALSE
"FL",172,"BRISONr_172","Benni multifloret",1980,"exot","USA",1980,"F","L","Purdue University Agricultural Experiment Station",FALSE,FALSE
"FL",173,"BRISONr_173","Hope",NA,NA,"USA",1940,"F","L","S.Dakota Agricultural Experiment Station",FALSE,FALSE
"FL",174,"BRISONr_174","Vel",NA,NA,"USA",NA,"F","L",NA,FALSE,FALSE
"FL",175,"BRISONr_175","Phoenix",1981,"exot","AUS, USA",1980,"F","L","Agricultural Research Institute, Wagga Wagga",FALSE,FALSE
"FL",176,"BRISONr_176","Mironovska 808",1963,"exot","UKR",1960,"F","L","Mironovskii institut selektsii i semenovodstva pshenitsy",FALSE,FALSE
"FK",177,"BRISONr_177","Caphorn",2000,NA,"FR",2000,"F","K","RAGT 2 n",TRUE,FALSE
"FK",178,"BRISONr_178","Cordiale",2003,NA,"GB",2000,"F","K","KWS UK Limited",TRUE,FALSE
"FK",179,"BRISONr_179","Apache",1997,"A","CZ",1990,"F","K"," Nickerson>Limagrain",TRUE,TRUE
"SK",18,"BRISONr_18","Paroli",2004,"A","DE",2000,"S","K","DSV",TRUE,TRUE
"FK",180,"BRISONr_180","Premio",2006,"B","FR",2000,"F","K"," RAGT",TRUE,TRUE
